"scaffold","number_of_loci","Sequence.Length"
"OLKM01000449.1",41,309156
"OLKM01000526.1",41,286919
"OLKM01000668.1",41,246780
"OLKM01000760.1",41,227945
"OLKM01000793.1",41,221790
"OLKM01000811.1",41,218860
"OLKM01001071.1",41,176758
"OLKM01000054.1",40,676273
"OLKM01000084.1",40,605317
"OLKM01000155.1",40,490875
"OLKM01000218.1",40,435992
"OLKM01000236.1",40,423086
"OLKM01000239.1",40,420487
"OLKM01000263.1",40,400928
"OLKM01000269.1",40,396076
"OLKM01000273.1",40,393766
"OLKM01000279.1",40,391340
"OLKM01000338.1",40,357462
"OLKM01000344.1",40,352457
"OLKM01000400.1",40,330898
"OLKM01000417.1",40,324656
"OLKM01000520.1",40,287964
"OLKM01000738.1",40,232363
"OLKM01000759.1",40,228196
"OLKM01000875.1",40,209751
"OLKM01001734.1",40,109773
"OLKM01005523.1",40,16879
"OLKM01000077.1",39,621158
"OLKM01000128.1",39,530087
"OLKM01000148.1",39,496920
"OLKM01000153.1",39,493378
"OLKM01000195.1",39,456436
"OLKM01000260.1",39,401803
"OLKM01000353.1",39,349323
"OLKM01000405.1",39,328184
"OLKM01000407.1",39,327701
"OLKM01000672.1",39,245933
"OLKM01000782.1",39,223699
"OLKM01000857.1",39,211882
"OLKM01000865.1",39,211204
"OLKM01001126.1",39,169513
"OLKM01001204.1",39,161017
"OLKM01001225.1",39,158752
"OLKM01001564.1",39,122282
"OLKM01000066.1",38,649277
"OLKM01000188.1",38,459452
"OLKM01000197.1",38,453743
"OLKM01000274.1",38,393406
"OLKM01000298.1",38,381338
"OLKM01000324.1",38,364912
"OLKM01000413.1",38,325644
"OLKM01000467.1",38,302893
"OLKM01000480.1",38,297253
"OLKM01000496.1",38,293444
"OLKM01000559.1",38,278648
"OLKM01000909.1",38,204777
"OLKM01000978.1",38,191491
"OLKM01001005.1",38,186739
"OLKM01001153.1",38,166834
"OLKM01001156.1",38,166623
"OLKM01001170.1",38,164861
"OLKM01000140.1",37,511006
"OLKM01000145.1",37,501589
"OLKM01000147.1",37,499293
"OLKM01000213.1",37,439375
"OLKM01000318.1",37,369115
"OLKM01000332.1",37,359195
"OLKM01000333.1",37,358743
"OLKM01000399.1",37,331164
"OLKM01000491.1",37,295005
"OLKM01000500.1",37,292685
"OLKM01000503.1",37,291801
"OLKM01000514.1",37,288799
"OLKM01000517.1",37,288582
"OLKM01000671.1",37,246068
"OLKM01001061.1",37,177272
"OLKM01001152.1",37,167053
"OLKM01001921.1",37,95839
"OLKM01003633.1",37,32895
"OLKM01000164.1",36,480593
"OLKM01000313.1",36,372275
"OLKM01000316.1",36,370536
"OLKM01000356.1",36,348640
"OLKM01000418.1",36,323536
"OLKM01000469.1",36,302606
"OLKM01000610.1",36,260845
"OLKM01000650.1",36,250853
"OLKM01000667.1",36,247001
"OLKM01000783.1",36,223321
"OLKM01000822.1",36,217109
"OLKM01000893.1",36,207721
"OLKM01000961.1",36,194230
"OLKM01000982.1",36,190709
"OLKM01001011.1",36,186016
"OLKM01001050.1",36,179386
"OLKM01001377.1",36,141289
"OLKM01001442.1",36,135324
"OLKM01001607.1",36,119466
"OLKM01006164.1",36,14965
"OLKM01000069.1",35,644467
"OLKM01000149.1",35,495758
"OLKM01000162.1",35,482088
"OLKM01000217.1",35,436418
"OLKM01000237.1",35,421207
"OLKM01000248.1",35,409905
"OLKM01000251.1",35,407031
"OLKM01000268.1",35,396430
"OLKM01000305.1",35,377772
"OLKM01000327.1",35,362660
"OLKM01000358.1",35,348470
"OLKM01000443.1",35,310549
"OLKM01000446.1",35,309625
"OLKM01000466.1",35,303207
"OLKM01000472.1",35,301366
"OLKM01000499.1",35,292859
"OLKM01000598.1",35,264698
"OLKM01000627.1",35,256682
"OLKM01000644.1",35,252449
"OLKM01000648.1",35,251943
"OLKM01000686.1",35,243036
"OLKM01000778.1",35,224259
"OLKM01000976.1",35,192047
"OLKM01000993.1",35,188304
"OLKM01001032.1",35,182265
"OLKM01001375.1",35,141371
"OLKM01001394.1",35,139787
"OLKM01004222.1",35,24193
"OLKM01007279.1",35,12143
"OLKM01008046.1",35,9905
"OLKM01000254.1",34,404470
"OLKM01000303.1",34,379158
"OLKM01000329.1",34,361490
"OLKM01000435.1",34,316534
"OLKM01000481.1",34,297227
"OLKM01000518.1",34,288489
"OLKM01000631.1",34,256300
"OLKM01000633.1",34,256208
"OLKM01000750.1",34,229601
"OLKM01000823.1",34,217089
"OLKM01000879.1",34,209151
"OLKM01000937.1",34,198711
"OLKM01000962.1",34,194183
"OLKM01001101.1",34,172603
"OLKM01001193.1",34,162345
"OLKM01001333.1",34,146354
"OLKM01001384.1",34,140763
"OLKM01001395.1",34,139763
"OLKM01001439.1",34,135607
"OLKM01004874.1",34,19525
"OLKM01000049.1",33,682485
"OLKM01000194.1",33,456871
"OLKM01000245.1",33,413174
"OLKM01000253.1",33,404966
"OLKM01000264.1",33,400087
"OLKM01000277.1",33,392007
"OLKM01000397.1",33,331575
"OLKM01000408.1",33,327428
"OLKM01000434.1",33,317813
"OLKM01000458.1",33,306180
"OLKM01000529.1",33,286152
"OLKM01000649.1",33,251286
"OLKM01000655.1",33,249821
"OLKM01000679.1",33,245268
"OLKM01000752.1",33,229027
"OLKM01000812.1",33,218524
"OLKM01000826.1",33,217057
"OLKM01000839.1",33,215324
"OLKM01000916.1",33,203093
"OLKM01000956.1",33,194528
"OLKM01001086.1",33,174391
"OLKM01006374.1",33,14440
"OLKM01000206.1",32,442979
"OLKM01000307.1",32,376846
"OLKM01000320.1",32,367575
"OLKM01000369.1",32,343217
"OLKM01000396.1",32,331884
"OLKM01000419.1",32,323000
"OLKM01000420.1",32,322754
"OLKM01000468.1",32,302792
"OLKM01000522.1",32,287861
"OLKM01000542.1",32,281987
"OLKM01000789.1",32,222134
"OLKM01000868.1",32,210690
"OLKM01000964.1",32,194113
"OLKM01000969.1",32,193181
"OLKM01001028.1",32,183098
"OLKM01001074.1",32,176477
"OLKM01001129.1",32,168787
"OLKM01001162.1",32,166050
"OLKM01001613.1",32,118848
"OLKM01001626.1",32,118255
"OLKM01002075.1",32,86448
"OLKM01002936.1",32,49403
"OLKM01003945.1",32,27519
"OLKM01004515.1",32,21861
"OLKM01006744.1",32,13509
"OLKM01006865.1",32,13213
"OLKM01000109.1",31,560296
"OLKM01000270.1",31,395534
"OLKM01000286.1",31,386975
"OLKM01000343.1",31,355351
"OLKM01000359.1",31,348055
"OLKM01000460.1",31,305645
"OLKM01000501.1",31,292499
"OLKM01000645.1",31,252297
"OLKM01000813.1",31,218223
"OLKM01000815.1",31,217857
"OLKM01000846.1",31,213931
"OLKM01000968.1",31,193284
"OLKM01001042.1",31,180347
"OLKM01001144.1",31,167697
"OLKM01001237.1",31,156344
"OLKM01001251.1",31,154548
"OLKM01001498.1",31,130017
"OLKM01001747.1",31,108842
"OLKM01003437.1",31,36550
"OLKM01003773.1",31,30232
"OLKM01004065.1",31,25900
"OLKM01006484.1",31,14153
"OLKM01000071.1",30,635436
"OLKM01000234.1",30,424049
"OLKM01000275.1",30,393011
"OLKM01000385.1",30,337215
"OLKM01000387.1",30,336614
"OLKM01000483.1",30,296995
"OLKM01000492.1",30,294730
"OLKM01000508.1",30,290678
"OLKM01000615.1",30,258254
"OLKM01000670.1",30,246190
"OLKM01000699.1",30,239613
"OLKM01000766.1",30,226912
"OLKM01000897.1",30,207462
"OLKM01000910.1",30,204553
"OLKM01001012.1",30,185741
"OLKM01001173.1",30,164669
"OLKM01001345.1",30,145286
"OLKM01001486.1",30,131615
"OLKM01003470.1",30,35807
"OLKM01006929.1",30,13079
"OLKM01000117.1",29,541155
"OLKM01000137.1",29,515579
"OLKM01000232.1",29,424214
"OLKM01000243.1",29,414702
"OLKM01000296.1",29,382477
"OLKM01000361.1",29,346940
"OLKM01000423.1",29,320869
"OLKM01000521.1",29,287899
"OLKM01000602.1",29,263636
"OLKM01000751.1",29,229534
"OLKM01000827.1",29,216962
"OLKM01000828.1",29,216847
"OLKM01000871.1",29,210450
"OLKM01000924.1",29,201044
"OLKM01000967.1",29,193635
"OLKM01001000.1",29,187183
"OLKM01001010.1",29,186037
"OLKM01001158.1",29,166399
"OLKM01001175.1",29,164451
"OLKM01001206.1",29,161000
"OLKM01001208.1",29,160884
"OLKM01001259.1",29,153437
"OLKM01001277.1",29,151351
"OLKM01001280.1",29,150900
"OLKM01001428.1",29,136706
"OLKM01001429.1",29,136673
"OLKM01001481.1",29,131753
"OLKM01001518.1",29,127626
"OLKM01001571.1",29,121397
"OLKM01001648.1",29,116424
"OLKM01001671.1",29,114439
"OLKM01001971.1",29,92327
"OLKM01000189.1",28,459145
"OLKM01000278.1",28,391418
"OLKM01000280.1",28,391041
"OLKM01000322.1",28,366020
"OLKM01000339.1",28,356582
"OLKM01000370.1",28,342670
"OLKM01000375.1",28,339124
"OLKM01000392.1",28,333772
"OLKM01000431.1",28,318549
"OLKM01000538.1",28,282746
"OLKM01000695.1",28,241316
"OLKM01000702.1",28,238955
"OLKM01000726.1",28,233992
"OLKM01000803.1",28,220364
"OLKM01000844.1",28,214285
"OLKM01000918.1",28,202883
"OLKM01000970.1",28,192902
"OLKM01001070.1",28,176767
"OLKM01001344.1",28,145387
"OLKM01001635.1",28,117343
"OLKM01001814.1",28,103660
"OLKM01001870.1",28,100016
"OLKM01002083.1",28,86058
"OLKM01004925.1",28,19298
"OLKM01000163.1",27,480947
"OLKM01000203.1",27,447113
"OLKM01000210.1",27,441611
"OLKM01000334.1",27,358307
"OLKM01000484.1",27,296695
"OLKM01000511.1",27,289940
"OLKM01000560.1",27,278201
"OLKM01000586.1",27,269208
"OLKM01000639.1",27,254378
"OLKM01000657.1",27,249157
"OLKM01000676.1",27,245497
"OLKM01000735.1",27,232469
"OLKM01000833.1",27,216126
"OLKM01000834.1",27,215950
"OLKM01000840.1",27,215120
"OLKM01000928.1",27,200587
"OLKM01000934.1",27,199270
"OLKM01000994.1",27,188302
"OLKM01000996.1",27,188260
"OLKM01001060.1",27,177463
"OLKM01001078.1",27,176147
"OLKM01001100.1",27,172713
"OLKM01001150.1",27,167128
"OLKM01001299.1",27,149594
"OLKM01001416.1",27,137774
"OLKM01001421.1",27,137131
"OLKM01001611.1",27,118932
"OLKM01002145.1",27,83116
"OLKM01002386.1",27,71185
"OLKM01003038.1",27,46129
"OLKM01004989.1",27,19009
"OLKM01005653.1",27,16423
"OLKM01006232.1",27,14790
"OLKM01008299.1",27,3730
"OLKM01000067.1",26,648409
"OLKM01000091.1",26,592292
"OLKM01000144.1",26,503263
"OLKM01000192.1",26,458403
"OLKM01000219.1",26,432969
"OLKM01000257.1",26,403299
"OLKM01000285.1",26,387119
"OLKM01000349.1",26,350130
"OLKM01000350.1",26,349576
"OLKM01000362.1",26,346679
"OLKM01000378.1",26,338346
"OLKM01000421.1",26,322496
"OLKM01000426.1",26,319960
"OLKM01000429.1",26,319129
"OLKM01000530.1",26,286133
"OLKM01000533.1",26,285039
"OLKM01000534.1",26,284789
"OLKM01000541.1",26,282030
"OLKM01000632.1",26,256244
"OLKM01000654.1",26,250588
"OLKM01000731.1",26,233369
"OLKM01000744.1",26,231168
"OLKM01000773.1",26,225194
"OLKM01000775.1",26,224829
"OLKM01000786.1",26,222326
"OLKM01000787.1",26,222205
"OLKM01000800.1",26,221270
"OLKM01000836.1",26,215696
"OLKM01000853.1",26,212492
"OLKM01000901.1",26,206238
"OLKM01000919.1",26,202485
"OLKM01000945.1",26,196669
"OLKM01001003.1",26,186829
"OLKM01001085.1",26,174449
"OLKM01001115.1",26,171121
"OLKM01001117.1",26,170816
"OLKM01001318.1",26,148001
"OLKM01001343.1",26,145390
"OLKM01001577.1",26,120966
"OLKM01002140.1",26,83259
"OLKM01002165.1",26,82042
"OLKM01005741.1",26,16052
"OLKM01006775.1",26,13423
"OLKM01000131.1",25,521735
"OLKM01000138.1",25,513838
"OLKM01000139.1",25,511709
"OLKM01000225.1",25,427742
"OLKM01000228.1",25,425859
"OLKM01000250.1",25,408611
"OLKM01000255.1",25,404205
"OLKM01000292.1",25,383048
"OLKM01000315.1",25,371674
"OLKM01000348.1",25,350207
"OLKM01000393.1",25,333193
"OLKM01000463.1",25,304766
"OLKM01000490.1",25,295175
"OLKM01000597.1",25,264761
"OLKM01000628.1",25,256553
"OLKM01000681.1",25,245028
"OLKM01000714.1",25,236049
"OLKM01000722.1",25,234790
"OLKM01000748.1",25,230456
"OLKM01000769.1",25,226035
"OLKM01000808.1",25,219044
"OLKM01000809.1",25,219010
"OLKM01000843.1",25,214288
"OLKM01000873.1",25,209993
"OLKM01000876.1",25,209748
"OLKM01000878.1",25,209289
"OLKM01000923.1",25,201119
"OLKM01000977.1",25,191685
"OLKM01000984.1",25,190281
"OLKM01001063.1",25,177074
"OLKM01001118.1",25,170804
"OLKM01001213.1",25,160136
"OLKM01001216.1",25,159933
"OLKM01001320.1",25,147967
"OLKM01001461.1",25,133349
"OLKM01001477.1",25,131889
"OLKM01001559.1",25,122800
"OLKM01001567.1",25,121797
"OLKM01001621.1",25,118478
"OLKM01001673.1",25,114314
"OLKM01002041.1",25,88417
"OLKM01002119.1",25,84226
"OLKM01002326.1",25,74099
"OLKM01002671.1",25,58947
"OLKM01005466.1",25,17057
"OLKM01005886.1",25,15673
"OLKM01006703.1",25,13592
"OLKM01007468.1",25,11743
"OLKM01007958.1",25,10241
"OLKM01000106.1",24,567183
"OLKM01000121.1",24,538904
"OLKM01000193.1",24,458049
"OLKM01000208.1",24,442349
"OLKM01000220.1",24,432780
"OLKM01000231.1",24,425075
"OLKM01000261.1",24,401321
"OLKM01000304.1",24,378406
"OLKM01000311.1",24,373481
"OLKM01000352.1",24,349437
"OLKM01000406.1",24,327879
"OLKM01000410.1",24,327100
"OLKM01000430.1",24,318691
"OLKM01000438.1",24,314564
"OLKM01000447.1",24,309266
"OLKM01000504.1",24,291369
"OLKM01000548.1",24,280875
"OLKM01000605.1",24,262535
"OLKM01000637.1",24,255208
"OLKM01000706.1",24,237949
"OLKM01000799.1",24,221372
"OLKM01000801.1",24,220538
"OLKM01000805.1",24,220166
"OLKM01000806.1",24,219654
"OLKM01000824.1",24,217084
"OLKM01000947.1",24,196504
"OLKM01000999.1",24,187356
"OLKM01001016.1",24,185412
"OLKM01001034.1",24,181843
"OLKM01001043.1",24,180314
"OLKM01001103.1",24,172433
"OLKM01001373.1",24,141543
"OLKM01001389.1",24,140341
"OLKM01001408.1",24,138637
"OLKM01001637.1",24,117255
"OLKM01001738.1",24,109621
"OLKM01001782.1",24,105851
"OLKM01001980.1",24,91880
"OLKM01002077.1",24,86250
"OLKM01002873.1",24,51574
"OLKM01003981.1",24,26867
"OLKM01005321.1",24,17563
"OLKM01006540.1",24,13995
"OLKM01007477.1",24,11723
"OLKM01000212.1",23,440007
"OLKM01000323.1",23,365585
"OLKM01000340.1",23,356182
"OLKM01000432.1",23,318109
"OLKM01000440.1",23,312237
"OLKM01000554.1",23,279518
"OLKM01000608.1",23,262060
"OLKM01000630.1",23,256310
"OLKM01000640.1",23,253993
"OLKM01000659.1",23,248546
"OLKM01000700.1",23,239497
"OLKM01000708.1",23,237558
"OLKM01000718.1",23,235693
"OLKM01000732.1",23,233193
"OLKM01000739.1",23,232287
"OLKM01000816.1",23,217853
"OLKM01000830.1",23,216683
"OLKM01000856.1",23,211941
"OLKM01000867.1",23,210905
"OLKM01000949.1",23,196027
"OLKM01000997.1",23,187815
"OLKM01001018.1",23,185250
"OLKM01001089.1",23,174083
"OLKM01001161.1",23,166230
"OLKM01001178.1",23,163978
"OLKM01001186.1",23,162951
"OLKM01001245.1",23,155582
"OLKM01001267.1",23,152107
"OLKM01001273.1",23,151664
"OLKM01001327.1",23,147188
"OLKM01001392.1",23,139960
"OLKM01001399.1",23,139430
"OLKM01001400.1",23,139386
"OLKM01001445.1",23,135167
"OLKM01001504.1",23,129282
"OLKM01001741.1",23,109197
"OLKM01002184.1",23,80663
"OLKM01002480.1",23,67156
"OLKM01003672.1",23,32333
"OLKM01004661.1",23,20789
"OLKM01005177.1",23,18128
"OLKM01006384.1",23,14422
"OLKM01006482.1",23,14154
"OLKM01008106.1",23,8707
"OLKM01000097.1",22,581224
"OLKM01000300.1",22,380352
"OLKM01000310.1",22,373613
"OLKM01000373.1",22,341023
"OLKM01000382.1",22,338023
"OLKM01000462.1",22,304845
"OLKM01000476.1",22,299817
"OLKM01000493.1",22,294454
"OLKM01000596.1",22,264811
"OLKM01000600.1",22,264487
"OLKM01000680.1",22,245178
"OLKM01000682.1",22,244554
"OLKM01000780.1",22,224005
"OLKM01000797.1",22,221599
"OLKM01000841.1",22,215116
"OLKM01000890.1",22,208130
"OLKM01000913.1",22,203362
"OLKM01000975.1",22,192119
"OLKM01000998.1",22,187628
"OLKM01001092.1",22,173181
"OLKM01001104.1",22,172289
"OLKM01001109.1",22,171900
"OLKM01001164.1",22,165646
"OLKM01001202.1",22,161161
"OLKM01001224.1",22,158940
"OLKM01001238.1",22,156167
"OLKM01001276.1",22,151355
"OLKM01001303.1",22,149182
"OLKM01001348.1",22,144968
"OLKM01001411.1",22,138409
"OLKM01001437.1",22,135647
"OLKM01001482.1",22,131733
"OLKM01001619.1",22,118530
"OLKM01001668.1",22,114635
"OLKM01001698.1",22,112331
"OLKM01001906.1",22,96925
"OLKM01001933.1",22,94946
"OLKM01002107.1",22,84750
"OLKM01002696.1",22,57762
"OLKM01002997.1",22,47322
"OLKM01004009.1",22,26591
"OLKM01004136.1",22,25011
"OLKM01004429.1",22,22485
"OLKM01005876.1",22,15697
"OLKM01006880.1",22,13181
"OLKM01007696.1",22,11037
