"scaffold","number_of_loci","Sequence.Length"
"OLKM01004189.1",40,24398
"OLKM01005235.1",40,17894
"OLKM01000014.1",39,906000
"OLKM01000017.1",39,870134
"OLKM01000048.1",39,686611
"OLKM01000127.1",39,531338
"OLKM01000224.1",39,428235
"OLKM01000248.1",39,409905
"OLKM01000256.1",39,403399
"OLKM01000271.1",39,394689
"OLKM01000318.1",39,369115
"OLKM01000335.1",39,358028
"OLKM01000461.1",39,304925
"OLKM01000032.1",38,791586
"OLKM01000054.1",38,676273
"OLKM01000119.1",38,539655
"OLKM01000183.1",38,461331
"OLKM01000240.1",38,420305
"OLKM01000321.1",38,367295
"OLKM01000347.1",38,350463
"OLKM01000377.1",38,338972
"OLKM01000624.1",38,256871
"OLKM01000692.1",38,242243
"OLKM01001564.1",38,122282
"OLKM01003633.1",38,32895
"OLKM01003646.1",38,32726
"OLKM01004065.1",38,25900
"OLKM01004294.1",38,23593
"OLKM01000083.1",37,606126
"OLKM01000173.1",37,470997
"OLKM01000342.1",37,355875
"OLKM01000677.1",37,245377
"OLKM01000782.1",37,223699
"OLKM01001153.1",37,166834
"OLKM01007279.1",37,12143
"OLKM01000055.1",36,675028
"OLKM01000056.1",36,672232
"OLKM01000079.1",36,615662
"OLKM01000254.1",36,404470
"OLKM01000368.1",36,343906
"OLKM01001036.1",36,181226
"OLKM01000084.1",35,605317
"OLKM01000185.1",35,460871
"OLKM01000205.1",35,444964
"OLKM01000211.1",35,440777
"OLKM01000383.1",35,337588
"OLKM01000467.1",35,302893
"OLKM01004331.1",35,23208
"OLKM01007477.1",35,11723
"OLKM01000069.1",34,644467
"OLKM01000100.1",34,577598
"OLKM01000102.1",34,570395
"OLKM01000137.1",34,515579
"OLKM01000143.1",34,508194
"OLKM01000175.1",34,470299
"OLKM01000186.1",34,460362
"OLKM01000197.1",34,453743
"OLKM01000251.1",34,407031
"OLKM01000324.1",34,364912
"OLKM01000326.1",34,363551
"OLKM01000360.1",34,347392
"OLKM01000397.1",34,331575
"OLKM01000433.1",34,318071
"OLKM01000455.1",34,308345
"OLKM01000485.1",34,296423
"OLKM01000486.1",34,296351
"OLKM01000839.1",34,215324
"OLKM01006484.1",34,14153
"OLKM01000031.1",33,796851
"OLKM01000060.1",33,665563
"OLKM01000168.1",33,477985
"OLKM01000171.1",33,475535
"OLKM01000196.1",33,454757
"OLKM01000203.1",33,447113
"OLKM01000233.1",33,424119
"OLKM01000282.1",33,390390
"OLKM01000306.1",33,376922
"OLKM01000309.1",33,374148
"OLKM01000341.1",33,355879
"OLKM01000473.1",33,300269
"OLKM01000665.1",33,247839
"OLKM01000867.1",33,210905
"OLKM01000916.1",33,203093
"OLKM01000961.1",33,194230
"OLKM01001000.1",33,187183
"OLKM01001050.1",33,179386
"OLKM01001277.1",33,151351
"OLKM01004874.1",33,19525
"OLKM01006865.1",33,13213
"OLKM01007458.1",33,11771
"OLKM01000128.1",32,530087
"OLKM01000147.1",32,499293
"OLKM01000317.1",32,369447
"OLKM01000355.1",32,348831
"OLKM01000374.1",32,340667
"OLKM01000391.1",32,334642
"OLKM01000398.1",32,331171
"OLKM01000524.1",32,287328
"OLKM01000845.1",32,214080
"OLKM01001032.1",32,182265
"OLKM01002372.1",32,71907
"OLKM01005177.1",32,18128
"OLKM01000061.1",31,664273
"OLKM01000129.1",31,526742
"OLKM01000158.1",31,487263
"OLKM01000160.1",31,483413
"OLKM01000179.1",31,464606
"OLKM01000266.1",31,399879
"OLKM01000308.1",31,375427
"OLKM01000356.1",31,348640
"OLKM01000380.1",31,338273
"OLKM01000390.1",31,336363
"OLKM01000408.1",31,327428
"OLKM01000412.1",31,325804
"OLKM01000472.1",31,301366
"OLKM01000619.1",31,257628
"OLKM01000719.1",31,235560
"OLKM01000968.1",31,193284
"OLKM01001012.1",31,185741
"OLKM01001333.1",31,146354
"OLKM01001394.1",31,139787
"OLKM01000133.1",30,519749
"OLKM01000180.1",30,462996
"OLKM01000417.1",30,324656
"OLKM01000423.1",30,320869
"OLKM01000805.1",30,220166
"OLKM01001607.1",30,119466
"OLKM01006602.1",30,13849
"OLKM01000116.1",29,541319
"OLKM01000154.1",29,493045
"OLKM01000155.1",29,490875
"OLKM01000162.1",29,482088
"OLKM01000187.1",29,459867
"OLKM01000216.1",29,436680
"OLKM01000218.1",29,435992
"OLKM01000241.1",29,418873
"OLKM01000273.1",29,393766
"OLKM01000280.1",29,391041
"OLKM01000418.1",29,323536
"OLKM01000526.1",29,286919
"OLKM01000647.1",29,252108
"OLKM01000660.1",29,248450
"OLKM01000738.1",29,232363
"OLKM01000836.1",29,215696
"OLKM01000919.1",29,202485
"OLKM01001193.1",29,162345
"OLKM01001814.1",29,103660
"OLKM01001921.1",29,95839
"OLKM01005466.1",29,17057
"OLKM01008046.1",29,9905
"OLKM01000043.1",28,733482
"OLKM01000134.1",28,519545
"OLKM01000199.1",28,451040
"OLKM01000213.1",28,439375
"OLKM01000290.1",28,384876
"OLKM01000303.1",28,379158
"OLKM01000346.1",28,351135
"OLKM01000407.1",28,327701
"OLKM01000413.1",28,325644
"OLKM01000515.1",28,288768
"OLKM01000705.1",28,237999
"OLKM01000713.1",28,236477
"OLKM01001071.1",28,176758
"OLKM01001085.1",28,174449
"OLKM01001428.1",28,136706
"OLKM01004118.1",28,25259
"OLKM01006744.1",28,13509
"OLKM01007038.1",28,12790
"OLKM01000046.1",27,702404
"OLKM01000090.1",27,592469
"OLKM01000095.1",27,583002
"OLKM01000109.1",27,560296
"OLKM01000145.1",27,501589
"OLKM01000236.1",27,423086
"OLKM01000278.1",27,391418
"OLKM01000310.1",27,373613
"OLKM01000358.1",27,348470
"OLKM01000376.1",27,339036
"OLKM01000394.1",27,332981
"OLKM01000443.1",27,310549
"OLKM01000454.1",27,308508
"OLKM01000480.1",27,297253
"OLKM01000514.1",27,288799
"OLKM01000602.1",27,263636
"OLKM01000667.1",27,247001
"OLKM01000718.1",27,235693
"OLKM01000728.1",27,233790
"OLKM01000752.1",27,229027
"OLKM01000818.1",27,217603
"OLKM01000923.1",27,201119
"OLKM01001018.1",27,185250
"OLKM01001395.1",27,139763
"OLKM01001504.1",27,129282
"OLKM01001734.1",27,109773
"OLKM01008299.1",27,3730
"OLKM01000073.1",26,633016
"OLKM01000082.1",26,609128
"OLKM01000085.1",26,603124
"OLKM01000136.1",26,517766
"OLKM01000149.1",26,495758
"OLKM01000153.1",26,493378
"OLKM01000170.1",26,476362
"OLKM01000176.1",26,470259
"OLKM01000181.1",26,462425
"OLKM01000188.1",26,459452
"OLKM01000264.1",26,400087
"OLKM01000270.1",26,395534
"OLKM01000296.1",26,382477
"OLKM01000323.1",26,365585
"OLKM01000340.1",26,356182
"OLKM01000382.1",26,338023
"OLKM01000384.1",26,337542
"OLKM01000449.1",26,309156
"OLKM01000489.1",26,295674
"OLKM01000529.1",26,286152
"OLKM01000598.1",26,264698
"OLKM01000655.1",26,249821
"OLKM01000661.1",26,248397
"OLKM01000679.1",26,245268
"OLKM01000826.1",26,217057
"OLKM01000834.1",26,215950
"OLKM01000909.1",26,204777
"OLKM01000991.1",26,188839
"OLKM01001375.1",26,141371
"OLKM01001613.1",26,118848
"OLKM01001971.1",26,92327
"OLKM01003138.1",26,43018
"OLKM01003783.1",26,30024
"OLKM01003945.1",26,27519
"OLKM01000010.1",25,970790
"OLKM01000201.1",25,448183
"OLKM01000209.1",25,442079
"OLKM01000255.1",25,404205
"OLKM01000257.1",25,403299
"OLKM01000314.1",25,371966
"OLKM01000330.1",25,360932
"OLKM01000387.1",25,336614
"OLKM01000388.1",25,336469
"OLKM01000392.1",25,333772
"OLKM01000415.1",25,324841
"OLKM01000419.1",25,323000
"OLKM01000499.1",25,292859
"OLKM01000693.1",25,241481
"OLKM01000716.1",25,235976
"OLKM01000749.1",25,229986
"OLKM01000822.1",25,217109
"OLKM01000910.1",25,204553
"OLKM01000954.1",25,194796
"OLKM01001204.1",25,161017
"OLKM01001245.1",25,155582
"OLKM01001577.1",25,120966
"OLKM01004222.1",25,24193
"OLKM01000034.1",24,783160
"OLKM01000053.1",24,678086
"OLKM01000121.1",24,538904
"OLKM01000140.1",24,511006
"OLKM01000184.1",24,461228
"OLKM01000225.1",24,427742
"OLKM01000239.1",24,420487
"OLKM01000298.1",24,381338
"OLKM01000302.1",24,379311
"OLKM01000305.1",24,377772
"OLKM01000332.1",24,359195
"OLKM01000338.1",24,357462
"OLKM01000362.1",24,346679
"OLKM01000370.1",24,342670
"OLKM01000405.1",24,328184
"OLKM01000439.1",24,312444
"OLKM01000446.1",24,309625
"OLKM01000450.1",24,309046
"OLKM01000458.1",24,306180
"OLKM01000462.1",24,304845
"OLKM01000468.1",24,302792
"OLKM01000471.1",24,302061
"OLKM01000522.1",24,287861
"OLKM01000674.1",24,245804
"OLKM01000686.1",24,243036
"OLKM01000711.1",24,237054
"OLKM01000714.1",24,236049
"OLKM01000739.1",24,232287
"OLKM01000742.1",24,231733
"OLKM01000865.1",24,211204
"OLKM01000871.1",24,210450
"OLKM01000901.1",24,206238
"OLKM01001037.1",24,180936
"OLKM01001042.1",24,180347
"OLKM01001162.1",24,166050
"OLKM01001175.1",24,164451
"OLKM01001343.1",24,145390
"OLKM01001400.1",24,139386
"OLKM01001442.1",24,135324
"OLKM01002465.1",24,68025
"OLKM01004429.1",24,22485
"OLKM01004847.1",24,19699
"OLKM01005364.1",24,17414
"OLKM01005653.1",24,16423
"OLKM01005753.1",24,16025
"OLKM01006685.1",24,13640
"OLKM01000087.1",23,595517
"OLKM01000106.1",23,567183
"OLKM01000164.1",23,480593
"OLKM01000208.1",23,442349
"OLKM01000215.1",23,437354
"OLKM01000237.1",23,421207
"OLKM01000245.1",23,413174
"OLKM01000275.1",23,393011
"OLKM01000295.1",23,382584
"OLKM01000299.1",23,380353
"OLKM01000311.1",23,373481
"OLKM01000316.1",23,370536
"OLKM01000337.1",23,357476
"OLKM01000357.1",23,348480
"OLKM01000359.1",23,348055
"OLKM01000393.1",23,333193
"OLKM01000400.1",23,330898
"OLKM01000402.1",23,329706
"OLKM01000434.1",23,317813
"OLKM01000469.1",23,302606
"OLKM01000504.1",23,291369
"OLKM01000520.1",23,287964
"OLKM01000531.1",23,285888
"OLKM01000613.1",23,259733
"OLKM01000726.1",23,233992
"OLKM01000744.1",23,231168
"OLKM01000879.1",23,209151
"OLKM01000947.1",23,196504
"OLKM01000956.1",23,194528
"OLKM01001039.1",23,180682
"OLKM01001202.1",23,161161
"OLKM01001216.1",23,159933
"OLKM01001225.1",23,158752
"OLKM01001320.1",23,147967
"OLKM01001455.1",23,133990
"OLKM01002267.1",23,76386
"OLKM01003488.1",23,35445
"OLKM01003818.1",23,29460
"OLKM01004487.1",23,22015
"OLKM01004565.1",23,21567
"OLKM01004653.1",23,20850
"OLKM01005460.1",23,17065
"OLKM01006232.1",23,14790
"OLKM01000071.1",22,635436
"OLKM01000103.1",22,569137
"OLKM01000189.1",22,459145
"OLKM01000194.1",22,456871
"OLKM01000219.1",22,432969
"OLKM01000223.1",22,430223
"OLKM01000227.1",22,426961
"OLKM01000250.1",22,408611
"OLKM01000253.1",22,404966
"OLKM01000260.1",22,401803
"OLKM01000267.1",22,398672
"OLKM01000269.1",22,396076
"OLKM01000329.1",22,361490
"OLKM01000336.1",22,357750
"OLKM01000344.1",22,352457
"OLKM01000351.1",22,349509
"OLKM01000479.1",22,298192
"OLKM01000484.1",22,296695
"OLKM01000501.1",22,292499
"OLKM01000532.1",22,285183
"OLKM01000559.1",22,278648
"OLKM01000639.1",22,254378
"OLKM01000735.1",22,232469
"OLKM01000751.1",22,229534
"OLKM01000786.1",22,222326
"OLKM01000816.1",22,217853
"OLKM01000843.1",22,214288
"OLKM01000846.1",22,213931
"OLKM01000856.1",22,211941
"OLKM01000857.1",22,211882
"OLKM01000962.1",22,194183
"OLKM01000996.1",22,188260
"OLKM01001010.1",22,186037
"OLKM01001024.1",22,184055
"OLKM01001086.1",22,174391
"OLKM01001142.1",22,167768
"OLKM01001286.1",22,150453
"OLKM01001416.1",22,137774
"OLKM01003266.1",22,39852
"OLKM01005741.1",22,16052
"OLKM01006540.1",22,13995
"OLKM01006939.1",22,13059
"OLKM01000066.1",21,649277
"OLKM01000115.1",21,545268
"OLKM01000123.1",21,534298
"OLKM01000144.1",21,503263
"OLKM01000206.1",21,442979
"OLKM01000234.1",21,424049
"OLKM01000262.1",21,401260
"OLKM01000268.1",21,396430
"OLKM01000283.1",21,390171
"OLKM01000286.1",21,386975
"OLKM01000353.1",21,349323
"OLKM01000369.1",21,343217
"OLKM01000435.1",21,316534
"OLKM01000438.1",21,314564
"OLKM01000496.1",21,293444
"OLKM01000523.1",21,287613
"OLKM01000680.1",21,245178
"OLKM01000699.1",21,239613
"OLKM01000789.1",21,222134
"OLKM01000790.1",21,222126
"OLKM01000830.1",21,216683
"OLKM01000840.1",21,215120
"OLKM01000897.1",21,207462
"OLKM01000928.1",21,200587
"OLKM01000937.1",21,198711
"OLKM01000949.1",21,196027
"OLKM01000970.1",21,192902
"OLKM01000984.1",21,190281
"OLKM01001021.1",21,184465
"OLKM01001152.1",21,167053
"OLKM01001170.1",21,164861
"OLKM01001280.1",21,150900
"OLKM01001741.1",21,109197
"OLKM01001938.1",21,94680
"OLKM01002125.1",21,84041
"OLKM01002271.1",21,76245
"OLKM01002706.1",21,57379
"OLKM01002728.1",21,56643
"OLKM01004009.1",21,26591
"OLKM01005321.1",21,17563
"OLKM01006164.1",21,14965
"OLKM01006227.1",21,14796
"OLKM01006482.1",21,14154
"OLKM01000049.1",20,682485
"OLKM01000120.1",20,539102
"OLKM01000126.1",20,532651
"OLKM01000130.1",20,526065
"OLKM01000131.1",20,521735
"OLKM01000159.1",20,485454
"OLKM01000165.1",20,479496
"OLKM01000212.1",20,440007
"OLKM01000274.1",20,393406
"OLKM01000322.1",20,366020
"OLKM01000366.1",20,344499
"OLKM01000416.1",20,324825
"OLKM01000463.1",20,304766
"OLKM01000521.1",20,287899
"OLKM01000560.1",20,278201
"OLKM01000596.1",20,264811
"OLKM01000597.1",20,264761
"OLKM01000635.1",20,255829
"OLKM01000683.1",20,243451
"OLKM01000715.1",20,236026
"OLKM01000727.1",20,233914
"OLKM01000773.1",20,225194
"OLKM01000775.1",20,224829
"OLKM01000815.1",20,217857
"OLKM01000828.1",20,216847
"OLKM01000833.1",20,216126
"OLKM01000868.1",20,210690
"OLKM01000875.1",20,209751
"OLKM01000892.1",20,207724
"OLKM01000993.1",20,188304
"OLKM01001003.1",20,186829
"OLKM01001101.1",20,172603
"OLKM01001221.1",20,159183
"OLKM01001271.1",20,151697
"OLKM01001299.1",20,149594
"OLKM01001384.1",20,140763
"OLKM01001465.1",20,132828
"OLKM01002009.1",20,89909
"OLKM01002136.1",20,83408
"OLKM01002145.1",20,83116
"OLKM01002478.1",20,67246
"OLKM01002936.1",20,49403
"OLKM01003461.1",20,36020
"OLKM01003570.1",20,33890
"OLKM01003773.1",20,30232
"OLKM01004661.1",20,20789
"OLKM01006384.1",20,14422
"OLKM01006775.1",20,13423
"OLKM01006880.1",20,13181
"OLKM01007113.1",20,12601
"OLKM01007693.1",20,11047
"OLKM01007958.1",20,10241
"OLKM01000020.1",19,862834
"OLKM01000077.1",19,621158
"OLKM01000112.1",19,557181
"OLKM01000139.1",19,511709
"OLKM01000151.1",19,494261
"OLKM01000210.1",19,441611
"OLKM01000220.1",19,432780
"OLKM01000315.1",19,371674
"OLKM01000339.1",19,356582
"OLKM01000403.1",19,329334
"OLKM01000420.1",19,322754
"OLKM01000424.1",19,320630
"OLKM01000460.1",19,305645
"OLKM01000477.1",19,299342
"OLKM01000493.1",19,294454
"OLKM01000494.1",19,294188
"OLKM01000503.1",19,291801
"OLKM01000517.1",19,288582
"OLKM01000518.1",19,288489
"OLKM01000530.1",19,286133
"OLKM01000535.1",19,284642
"OLKM01000627.1",19,256682
"OLKM01000629.1",19,256515
"OLKM01000637.1",19,255208
"OLKM01000648.1",19,251943
"OLKM01000650.1",19,250853
"OLKM01000759.1",19,228196
"OLKM01000781.1",19,223922
"OLKM01000806.1",19,219654
"OLKM01000835.1",19,215699
"OLKM01000855.1",19,212025
"OLKM01000973.1",19,192366
"OLKM01000982.1",19,190709
"OLKM01001005.1",19,186739
"OLKM01001028.1",19,183098
"OLKM01001031.1",19,182566
"OLKM01001041.1",19,180387
"OLKM01001117.1",19,170816
"OLKM01001126.1",19,169513
"OLKM01001156.1",19,166623
"OLKM01001206.1",19,161000
"OLKM01001338.1",19,145914
"OLKM01001373.1",19,141543
"OLKM01001461.1",19,133349
"OLKM01001495.1",19,130716
"OLKM01001498.1",19,130017
"OLKM01001543.1",19,124851
"OLKM01001567.1",19,121797
"OLKM01001848.1",19,101266
"OLKM01002718.1",19,56989
"OLKM01003437.1",19,36550
"OLKM01004804.1",19,19980
"OLKM01004989.1",19,19009
"OLKM01005662.1",19,16387
"OLKM01006158.1",19,14980
"OLKM01006732.1",19,13530
"OLKM01000091.1",18,592292
"OLKM01000195.1",18,456436
"OLKM01000375.1",18,339124
"OLKM01000421.1",18,322496
"OLKM01000448.1",18,309261
"OLKM01000465.1",18,303893
"OLKM01000466.1",18,303207
"OLKM01000478.1",18,298602
"OLKM01000511.1",18,289940
"OLKM01000538.1",18,282746
"OLKM01000548.1",18,280875
"OLKM01000645.1",18,252297
"OLKM01000659.1",18,248546
"OLKM01000668.1",18,246780
"OLKM01000731.1",18,233369
"OLKM01000758.1",18,228210
"OLKM01000766.1",18,226912
"OLKM01000784.1",18,223093
"OLKM01000797.1",18,221599
"OLKM01000814.1",18,217886
"OLKM01000852.1",18,212600
"OLKM01000888.1",18,208146
"OLKM01000959.1",18,194324
"OLKM01000978.1",18,191491
"OLKM01000994.1",18,188302
"OLKM01001009.1",18,186047
"OLKM01001011.1",18,186016
"OLKM01001061.1",18,177272
"OLKM01001103.1",18,172433
"OLKM01001161.1",18,166230
"OLKM01001173.1",18,164669
"OLKM01001178.1",18,163978
"OLKM01001323.1",18,147680
"OLKM01001327.1",18,147188
"OLKM01001352.1",18,144663
"OLKM01001389.1",18,140341
"OLKM01001393.1",18,139922
"OLKM01001429.1",18,136673
"OLKM01001472.1",18,132179
"OLKM01001513.1",18,127955
"OLKM01001528.1",18,126898
"OLKM01001611.1",18,118932
"OLKM01001619.1",18,118530
"OLKM01001626.1",18,118255
"OLKM01001648.1",18,116424
"OLKM01001903.1",18,97486
"OLKM01002007.1",18,90094
"OLKM01002140.1",18,83259
"OLKM01002173.1",18,81508
"OLKM01003038.1",18,46129
"OLKM01003915.1",18,27875
"OLKM01004237.1",18,24060
"OLKM01004832.1",18,19794
"OLKM01005265.1",18,17783
"OLKM01005433.1",18,17179
"OLKM01005649.1",18,16444
"OLKM01006138.1",18,15028
"OLKM01007104.1",18,12615
"OLKM01007263.1",18,12177
"OLKM01000080.1",17,614323
"OLKM01000152.1",17,493520
"OLKM01000217.1",17,436418
"OLKM01000277.1",17,392007
"OLKM01000300.1",17,380352
"OLKM01000304.1",17,378406
"OLKM01000312.1",17,372746
"OLKM01000320.1",17,367575
"OLKM01000385.1",17,337215
"OLKM01000411.1",17,326384
"OLKM01000426.1",17,319960
"OLKM01000429.1",17,319129
"OLKM01000481.1",17,297227
"OLKM01000500.1",17,292685
"OLKM01000509.1",17,290464
"OLKM01000542.1",17,281987
"OLKM01000544.1",17,281548
"OLKM01000562.1",17,277467
"OLKM01000609.1",17,261978
"OLKM01000621.1",17,257447
"OLKM01000622.1",17,257315
"OLKM01000654.1",17,250588
"OLKM01000681.1",17,245028
"OLKM01000687.1",17,242669
"OLKM01000702.1",17,238955
"OLKM01000706.1",17,237949
"OLKM01000769.1",17,226035
"OLKM01000783.1",17,223321
"OLKM01000813.1",17,218223
"OLKM01000820.1",17,217343
"OLKM01000877.1",17,209348
"OLKM01000893.1",17,207721
"OLKM01000934.1",17,199270
"OLKM01000945.1",17,196669
"OLKM01000974.1",17,192218
"OLKM01001043.1",17,180314
"OLKM01001060.1",17,177463
"OLKM01001087.1",17,174269
"OLKM01001092.1",17,173181
"OLKM01001129.1",17,168787
"OLKM01001181.1",17,163480
"OLKM01001217.1",17,159779
"OLKM01001220.1",17,159360
"OLKM01001238.1",17,156167
"OLKM01001273.1",17,151664
"OLKM01001318.1",17,148001
"OLKM01001331.1",17,146788
"OLKM01001412.1",17,138405
"OLKM01001538.1",17,125194
"OLKM01001558.1",17,122844
"OLKM01001637.1",17,117255
"OLKM01001655.1",17,116023
"OLKM01001710.1",17,111544
"OLKM01001790.1",17,105233
"OLKM01001862.1",17,100533
"OLKM01002101.1",17,85267
"OLKM01002119.1",17,84226
"OLKM01002344.1",17,73216
"OLKM01002500.1",17,66553
"OLKM01003510.1",17,34981
"OLKM01003539.1",17,34355
"OLKM01003739.1",17,31030
"OLKM01004292.1",17,23603
"OLKM01004396.1",17,22720
"OLKM01004509.1",17,21897
"OLKM01004619.1",17,21112
"OLKM01005953.1",17,15480
"OLKM01006877.1",17,13185
"OLKM01006929.1",17,13079
"OLKM01007468.1",17,11743
"OLKM01007587.1",17,11376
"OLKM01000192.1",16,458403
"OLKM01000207.1",16,442670
"OLKM01000243.1",16,414702
"OLKM01000285.1",16,387119
"OLKM01000333.1",16,358743
"OLKM01000352.1",16,349437
"OLKM01000428.1",16,319808
"OLKM01000430.1",16,318691
"OLKM01000436.1",16,315301
"OLKM01000508.1",16,290678
"OLKM01000519.1",16,288323
"OLKM01000541.1",16,282030
"OLKM01000547.1",16,281182
"OLKM01000608.1",16,262060
"OLKM01000610.1",16,260845
"OLKM01000631.1",16,256300
"OLKM01000640.1",16,253993
"OLKM01000657.1",16,249157
"OLKM01000666.1",16,247622
"OLKM01000676.1",16,245497
"OLKM01000695.1",16,241316
"OLKM01000760.1",16,227945
"OLKM01000787.1",16,222205
"OLKM01000793.1",16,221790
"OLKM01000799.1",16,221372
"OLKM01000812.1",16,218524
"OLKM01000825.1",16,217069
"OLKM01000873.1",16,209993
"OLKM01000884.1",16,208881
"OLKM01000908.1",16,205048
"OLKM01000964.1",16,194113
"OLKM01000976.1",16,192047
"OLKM01000999.1",16,187356
"OLKM01001016.1",16,185412
"OLKM01001115.1",16,171121
"OLKM01001147.1",16,167391
"OLKM01001251.1",16,154548
"OLKM01001259.1",16,153437
"OLKM01001266.1",16,152236
"OLKM01001322.1",16,147743
"OLKM01001370.1",16,141874
"OLKM01001437.1",16,135647
"OLKM01001477.1",16,131889
"OLKM01001559.1",16,122800
"OLKM01001770.1",16,106655
"OLKM01001802.1",16,104393
"OLKM01001888.1",16,98447
"OLKM01002000.1",16,90703
"OLKM01002165.1",16,82042
"OLKM01002562.1",16,64081
"OLKM01002841.1",16,52806
"OLKM01002881.1",16,51388
"OLKM01002968.1",16,47916
"OLKM01002976.1",16,47753
"OLKM01002997.1",16,47322
"OLKM01003576.1",16,33797
"OLKM01003872.1",16,28629
