"","Loc","feature_type"
"1","ENA|OLKM01000002|OLKM01000002.1 1260215","Intron"
"121","ENA|OLKM01000145|OLKM01000145.1 138669","Other"
"122","ENA|OLKM01000145|OLKM01000145.1 401637","Intron"
"123","ENA|OLKM01000147|OLKM01000147.1 28061","Intron"
"124","ENA|OLKM01000147|OLKM01000147.1 28073","Intron"
"125","ENA|OLKM01000147|OLKM01000147.1 106301","Intron"
"126","ENA|OLKM01000149|OLKM01000149.1 220136","Intron"
"127","ENA|OLKM01000149|OLKM01000149.1 370748","Intron"
"128","ENA|OLKM01000150|OLKM01000150.1 183852","Intron"
"129","ENA|OLKM01000155|OLKM01000155.1 11491","CDS"
"130","ENA|OLKM01000155|OLKM01000155.1 56013","Other"
"131","ENA|OLKM01000156|OLKM01000156.1 141539","UTR3"
"132","ENA|OLKM01000157|OLKM01000157.1 14349","Other"
"133","ENA|OLKM01000162|OLKM01000162.1 6516","Other"
"134","ENA|OLKM01000162|OLKM01000162.1 364679","Other"
"135","ENA|OLKM01000162|OLKM01000162.1 364691","Other"
"136","ENA|OLKM01000162|OLKM01000162.1 364718","Other"
"137","ENA|OLKM01000166|OLKM01000166.1 407694","Intron"
"138","ENA|OLKM01000167|OLKM01000167.1 327757","Intron"
"139","ENA|OLKM01000168|OLKM01000168.1 111992","Other"
"140","ENA|OLKM01000169|OLKM01000169.1 20743","Intron"
"141","ENA|OLKM01000169|OLKM01000169.1 87199","Other"
"142","ENA|OLKM01000171|OLKM01000171.1 53169","Intron"
"143","ENA|OLKM01000171|OLKM01000171.1 53171","Intron"
"144","ENA|OLKM01000173|OLKM01000173.1 98786","Other"
"145","ENA|OLKM01000177|OLKM01000177.1 152897","Intron"
"146","ENA|OLKM01000180|OLKM01000180.1 144444","Other"
"147","ENA|OLKM01000180|OLKM01000180.1 145746","Other"
"148","ENA|OLKM01000182|OLKM01000182.1 173017","Intron"
"149","ENA|OLKM01000182|OLKM01000182.1 425629","Intron"
"150","ENA|OLKM01000183|OLKM01000183.1 7780","Other"
"151","ENA|OLKM01000183|OLKM01000183.1 9694","Other"
"152","ENA|OLKM01000183|OLKM01000183.1 105710","CDS"
"153","ENA|OLKM01000183|OLKM01000183.1 108746","CDS"
"154","ENA|OLKM01000183|OLKM01000183.1 108774","CDS"
"155","ENA|OLKM01000183|OLKM01000183.1 116816","Intron"
"156","ENA|OLKM01000184|OLKM01000184.1 283257","CDS"
"157","ENA|OLKM01000184|OLKM01000184.1 359808","Other"
"158","ENA|OLKM01000184|OLKM01000184.1 359827","Other"
"159","ENA|OLKM01000185|OLKM01000185.1 2864","CDS"
"160","ENA|OLKM01000186|OLKM01000186.1 5057","Other"
"161","ENA|OLKM01000187|OLKM01000187.1 107921","CDS"
"162","ENA|OLKM01000187|OLKM01000187.1 108125","Intron"
"163","ENA|OLKM01000189|OLKM01000189.1 390856","Other"
"164","ENA|OLKM01000189|OLKM01000189.1 390867","Other"
"165","ENA|OLKM01000189|OLKM01000189.1 455281","Other"
"166","ENA|OLKM01000189|OLKM01000189.1 455287","Other"
"167","ENA|OLKM01000192|OLKM01000192.1 15642","Intron"
"168","ENA|OLKM01000197|OLKM01000197.1 113486","Intron"
"169","ENA|OLKM01000198|OLKM01000198.1 284692","Intron"
"170","ENA|OLKM01000198|OLKM01000198.1 318972","Other"
"171","ENA|OLKM01000200|OLKM01000200.1 8291","Intron"
"172","ENA|OLKM01000200|OLKM01000200.1 93763","Other"
"173","ENA|OLKM01000205|OLKM01000205.1 439299","Other"
"174","ENA|OLKM01000205|OLKM01000205.1 439531","Promoter"
"175","ENA|OLKM01000205|OLKM01000205.1 439708","CDS"
"176","ENA|OLKM01000207|OLKM01000207.1 111953","Intron"
"177","ENA|OLKM01000207|OLKM01000207.1 112017","Intron"
"178","ENA|OLKM01000207|OLKM01000207.1 389512","Intron"
"179","ENA|OLKM01000208|OLKM01000208.1 64499","Intron"
"180","ENA|OLKM01000209|OLKM01000209.1 32474","Intron"
"181","ENA|OLKM01000209|OLKM01000209.1 184119","Intron"
"182","ENA|OLKM01000211|OLKM01000211.1 421918","Intron"
"183","ENA|OLKM01000221|OLKM01000221.1 428253","Promoter"
"184","ENA|OLKM01000221|OLKM01000221.1 428288","Promoter"
"185","ENA|OLKM01000221|OLKM01000221.1 430483","Other"
"186","ENA|OLKM01000221|OLKM01000221.1 430534","Other"
"187","ENA|OLKM01000221|OLKM01000221.1 430556","Other"
"188","ENA|OLKM01000221|OLKM01000221.1 430584","Other"
"189","ENA|OLKM01000221|OLKM01000221.1 430602","Other"
"190","ENA|OLKM01000221|OLKM01000221.1 430604","Other"
"191","ENA|OLKM01000221|OLKM01000221.1 430638","Other"
"192","ENA|OLKM01000221|OLKM01000221.1 430656","Other"
"193","ENA|OLKM01000221|OLKM01000221.1 431109","Promoter"
"194","ENA|OLKM01000222|OLKM01000222.1 176392","Intron"
"195","ENA|OLKM01000224|OLKM01000224.1 132771","CDS"
"196","ENA|OLKM01000225|OLKM01000225.1 84127","Terminator"
"197","ENA|OLKM01000225|OLKM01000225.1 84223","Other"
"198","ENA|OLKM01000227|OLKM01000227.1 146226","Intron"
"199","ENA|OLKM01000227|OLKM01000227.1 310183","Other"
"200","ENA|OLKM01000229|OLKM01000229.1 401304","Other"
"201","ENA|OLKM01000233|OLKM01000233.1 8903","Other"
"202","ENA|OLKM01000233|OLKM01000233.1 8920","Other"
"203","ENA|OLKM01000233|OLKM01000233.1 8993","Other"
"204","ENA|OLKM01000241|OLKM01000241.1 309068","Intron"
"205","ENA|OLKM01000246|OLKM01000246.1 126550","Intron"
"206","ENA|OLKM01000248|OLKM01000248.1 381776","Intron"
"207","ENA|OLKM01000252|OLKM01000252.1 295283","Intron"
"208","ENA|OLKM01000254|OLKM01000254.1 5572","Intron"
"209","ENA|OLKM01000254|OLKM01000254.1 5634","Intron"
"210","ENA|OLKM01000254|OLKM01000254.1 5638","Intron"
"211","ENA|OLKM01000254|OLKM01000254.1 5890","Intron"
"212","ENA|OLKM01000258|OLKM01000258.1 77890","CDS"
"213","ENA|OLKM01000260|OLKM01000260.1 138571","Intron"
"214","ENA|OLKM01000263|OLKM01000263.1 137629","CDS"
"215","ENA|OLKM01000265|OLKM01000265.1 206015","Other"
"216","ENA|OLKM01000267|OLKM01000267.1 224468","Intron"
"217","ENA|OLKM01000270|OLKM01000270.1 378411","CDS"
"218","ENA|OLKM01000276|OLKM01000276.1 103686","Intron"
"219","ENA|OLKM01000276|OLKM01000276.1 104124","Intron"
"220","ENA|OLKM01000282|OLKM01000282.1 23214","Intron"
"221","ENA|OLKM01000284|OLKM01000284.1 91394","Other"
"222","ENA|OLKM01000288|OLKM01000288.1 143729","Other"
"223","ENA|OLKM01000288|OLKM01000288.1 146589","Other"
"224","ENA|OLKM01000288|OLKM01000288.1 146688","Other"
"225","ENA|OLKM01000288|OLKM01000288.1 212142","Intron"
"226","ENA|OLKM01000288|OLKM01000288.1 214072","Intron"
"227","ENA|OLKM01000291|OLKM01000291.1 18834","CDS"
"228","ENA|OLKM01000291|OLKM01000291.1 79143","Intron"
"229","ENA|OLKM01000291|OLKM01000291.1 79577","CDS"
"230","ENA|OLKM01000291|OLKM01000291.1 278879","Intron"
"231","ENA|OLKM01000291|OLKM01000291.1 279371","Intron"
"232","ENA|OLKM01000292|OLKM01000292.1 203225","CDS"
"233","ENA|OLKM01000301|OLKM01000301.1 237950","Intron"
"234","ENA|OLKM01000302|OLKM01000302.1 277102","Other"
"235","ENA|OLKM01000302|OLKM01000302.1 277167","Other"
"236","ENA|OLKM01000305|OLKM01000305.1 313744","Intron"
"237","ENA|OLKM01000306|OLKM01000306.1 21487","Intron"
"238","ENA|OLKM01000311|OLKM01000311.1 25177","Intron"
"239","ENA|OLKM01000313|OLKM01000313.1 26255","Promoter"
"240","ENA|OLKM01000313|OLKM01000313.1 130928","Intron"
"241","ENA|OLKM01000317|OLKM01000317.1 293559","Other"
"242","ENA|OLKM01000321|OLKM01000321.1 4461","Other"
"243","ENA|OLKM01000321|OLKM01000321.1 31029","Intron"
"244","ENA|OLKM01000321|OLKM01000321.1 31090","Intron"
"245","ENA|OLKM01000328|OLKM01000328.1 347976","Other"
"246","ENA|OLKM01000335|OLKM01000335.1 10492","Promoter"
"247","ENA|OLKM01000335|OLKM01000335.1 10551","Promoter"
"248","ENA|OLKM01000335|OLKM01000335.1 10743","CDS"
"249","ENA|OLKM01000335|OLKM01000335.1 11870","Other"
"250","ENA|OLKM01000335|OLKM01000335.1 12271","CDS"
"251","ENA|OLKM01000340|OLKM01000340.1 242889","Other"
"252","ENA|OLKM01000342|OLKM01000342.1 147707","Intron"
"253","ENA|OLKM01000342|OLKM01000342.1 348053","Other"
"254","ENA|OLKM01000344|OLKM01000344.1 2014","Other"
"255","ENA|OLKM01000344|OLKM01000344.1 2086","Other"
"256","ENA|OLKM01000346|OLKM01000346.1 143150","Intron"
"257","ENA|OLKM01000351|OLKM01000351.1 56623","Other"
"258","ENA|OLKM01000353|OLKM01000353.1 211245","CDS"
"259","ENA|OLKM01000355|OLKM01000355.1 1933","Other"
"260","ENA|OLKM01000355|OLKM01000355.1 2049","Other"
"261","ENA|OLKM01000357|OLKM01000357.1 95161","Other"
"262","ENA|OLKM01000357|OLKM01000357.1 216842","CDS"
"263","ENA|OLKM01000362|OLKM01000362.1 29090","Intron"
"264","ENA|OLKM01000364|OLKM01000364.1 38008","Intron"
"265","ENA|OLKM01000364|OLKM01000364.1 223618","Intron"
"266","ENA|OLKM01000379|OLKM01000379.1 307195","Intron"
"267","ENA|OLKM01000380|OLKM01000380.1 65059","Intron"
"268","ENA|OLKM01000380|OLKM01000380.1 183468","Intron"
"269","ENA|OLKM01000382|OLKM01000382.1 87627","CDS"
"270","ENA|OLKM01000382|OLKM01000382.1 87636","CDS"
"271","ENA|OLKM01000382|OLKM01000382.1 236878","Intron"
"272","ENA|OLKM01000382|OLKM01000382.1 261878","CDS"
"273","ENA|OLKM01000384|OLKM01000384.1 9221","Other"
"274","ENA|OLKM01000387|OLKM01000387.1 291539","Intron"
"275","ENA|OLKM01000387|OLKM01000387.1 296015","Intron"
"276","ENA|OLKM01000387|OLKM01000387.1 297592","Intron"
"277","ENA|OLKM01000387|OLKM01000387.1 298238","Intron"
"278","ENA|OLKM01000387|OLKM01000387.1 298688","Intron"
"279","ENA|OLKM01000388|OLKM01000388.1 137430","Intron"
"280","ENA|OLKM01000389|OLKM01000389.1 7204","Other"
"281","ENA|OLKM01000389|OLKM01000389.1 7274","Other"
"282","ENA|OLKM01000389|OLKM01000389.1 9688","Other"
"283","ENA|OLKM01000393|OLKM01000393.1 229947","Other"
"284","ENA|OLKM01000393|OLKM01000393.1 230189","Other"
"285","ENA|OLKM01000393|OLKM01000393.1 230266","Other"
"286","ENA|OLKM01000395|OLKM01000395.1 24009","Other"
"287","ENA|OLKM01000397|OLKM01000397.1 12507","Intron"
"288","ENA|OLKM01000402|OLKM01000402.1 137151","Other"
"289","ENA|OLKM01000402|OLKM01000402.1 313571","Intron"
"290","ENA|OLKM01000403|OLKM01000403.1 14412","Intron"
"291","ENA|OLKM01000403|OLKM01000403.1 296721","Intron"
"292","ENA|OLKM01000409|OLKM01000409.1 3274","Other"
"293","ENA|OLKM01000410|OLKM01000410.1 64884","Intron"
"294","ENA|OLKM01000411|OLKM01000411.1 248813","Other"
"295","ENA|OLKM01000421|OLKM01000421.1 6885","Intron"
"296","ENA|OLKM01000424|OLKM01000424.1 290435","Other"
"297","ENA|OLKM01000425|OLKM01000425.1 318178","Intron"
"298","ENA|OLKM01000427|OLKM01000427.1 218044","Intron"
"299","ENA|OLKM01000433|OLKM01000433.1 310241","CDS"
"300","ENA|OLKM01000437|OLKM01000437.1 90041","Terminator"
"301","ENA|OLKM01000439|OLKM01000439.1 121875","Intron"
"302","ENA|OLKM01000442|OLKM01000442.1 288153","Other"
"303","ENA|OLKM01000442|OLKM01000442.1 288470","Other"
"304","ENA|OLKM01000446|OLKM01000446.1 103983","Other"
"305","ENA|OLKM01000456|OLKM01000456.1 101996","CDS"
"306","ENA|OLKM01000456|OLKM01000456.1 245840","Other"
"307","ENA|OLKM01000458|OLKM01000458.1 91725","Intron"
"308","ENA|OLKM01000458|OLKM01000458.1 91742","Intron"
"309","ENA|OLKM01000461|OLKM01000461.1 166720","Other"
"310","ENA|OLKM01000461|OLKM01000461.1 167843","Other"
"311","ENA|OLKM01000461|OLKM01000461.1 193289","Other"
"312","ENA|OLKM01000462|OLKM01000462.1 302289","Other"
"313","ENA|OLKM01000467|OLKM01000467.1 176070","Intron"
"314","ENA|OLKM01000468|OLKM01000468.1 169192","Other"
"315","ENA|OLKM01000468|OLKM01000468.1 170179","Other"
"316","ENA|OLKM01000468|OLKM01000468.1 188189","Other"
"317","ENA|OLKM01000475|OLKM01000475.1 87439","CDS"
"318","ENA|OLKM01000475|OLKM01000475.1 88143","Intron"
"319","ENA|OLKM01000480|OLKM01000480.1 22211","CDS"
"320","ENA|OLKM01000482|OLKM01000482.1 157479","Intron"
"321","ENA|OLKM01000482|OLKM01000482.1 157808","CDS"
"322","ENA|OLKM01000482|OLKM01000482.1 157856","CDS"
"323","ENA|OLKM01000485|OLKM01000485.1 184492","Intron"
"324","ENA|OLKM01000493|OLKM01000493.1 62434","Intron"
"325","ENA|OLKM01000493|OLKM01000493.1 62900","Intron"
"326","ENA|OLKM01000493|OLKM01000493.1 239827","Intron"
"327","ENA|OLKM01000496|OLKM01000496.1 50569","Intron"
"328","ENA|OLKM01000500|OLKM01000500.1 108267","Intron"
"329","ENA|OLKM01000501|OLKM01000501.1 67786","Intron"
"330","ENA|OLKM01000502|OLKM01000502.1 162543","Intron"
"331","ENA|OLKM01000502|OLKM01000502.1 209533","Intron"
"332","ENA|OLKM01000503|OLKM01000503.1 159071","Other"
"333","ENA|OLKM01000503|OLKM01000503.1 161228","Other"
"334","ENA|OLKM01000504|OLKM01000504.1 10590","CDS"
"335","ENA|OLKM01000505|OLKM01000505.1 158423","Intron"
"336","ENA|OLKM01000505|OLKM01000505.1 182994","Intron"
"337","ENA|OLKM01000505|OLKM01000505.1 182997","Intron"
"338","ENA|OLKM01000505|OLKM01000505.1 275625","Other"
"339","ENA|OLKM01000513|OLKM01000513.1 82806","UTR3"
"340","ENA|OLKM01000517|OLKM01000517.1 83083","Other"
"341","ENA|OLKM01000517|OLKM01000517.1 131463","Terminator"
"342","ENA|OLKM01000517|OLKM01000517.1 201963","Intron"
"343","ENA|OLKM01000524|OLKM01000524.1 220470","CDS"
"344","ENA|OLKM01000524|OLKM01000524.1 223889","CDS"
"345","ENA|OLKM01000524|OLKM01000524.1 224051","Intron"
"346","ENA|OLKM01000528|OLKM01000528.1 285741","Other"
"347","ENA|OLKM01000528|OLKM01000528.1 285766","Other"
"348","ENA|OLKM01000529|OLKM01000529.1 85160","Terminator"
"349","ENA|OLKM01000534|OLKM01000534.1 102744","Intron"
"350","ENA|OLKM01000534|OLKM01000534.1 102934","Intron"
"351","ENA|OLKM01000534|OLKM01000534.1 103739","Intron"
"352","ENA|OLKM01000536|OLKM01000536.1 234584","CDS"
"353","ENA|OLKM01000536|OLKM01000536.1 234610","CDS"
"354","ENA|OLKM01000536|OLKM01000536.1 234623","CDS"
"355","ENA|OLKM01000536|OLKM01000536.1 243093","Other"
"356","ENA|OLKM01000537|OLKM01000537.1 234676","CDS"
"357","ENA|OLKM01000537|OLKM01000537.1 263035","CDS"
"358","ENA|OLKM01000537|OLKM01000537.1 263237","CDS"
"359","ENA|OLKM01000537|OLKM01000537.1 274486","Intron"
"360","ENA|OLKM01000537|OLKM01000537.1 276014","Intron"
"361","ENA|OLKM01000537|OLKM01000537.1 279405","Other"
"362","ENA|OLKM01000537|OLKM01000537.1 279419","Other"
"363","ENA|OLKM01000538|OLKM01000538.1 855","Other"
"364","ENA|OLKM01000538|OLKM01000538.1 893","Other"
"365","ENA|OLKM01000540|OLKM01000540.1 269108","Other"
"366","ENA|OLKM01000540|OLKM01000540.1 269194","Other"
"367","ENA|OLKM01000547|OLKM01000547.1 23498","Other"
"368","ENA|OLKM01000547|OLKM01000547.1 42597","Other"
"369","ENA|OLKM01000547|OLKM01000547.1 42748","Other"
"370","ENA|OLKM01000547|OLKM01000547.1 42818","Other"
"371","ENA|OLKM01000547|OLKM01000547.1 42901","Other"
"372","ENA|OLKM01000550|OLKM01000550.1 279245","Other"
"373","ENA|OLKM01000551|OLKM01000551.1 16348","UTR5"
"374","ENA|OLKM01000552|OLKM01000552.1 218361","Intron"
"375","ENA|OLKM01000554|OLKM01000554.1 238259","Intron"
"376","ENA|OLKM01000554|OLKM01000554.1 239432","Intron"
"377","ENA|OLKM01000554|OLKM01000554.1 242257","Intron"
"378","ENA|OLKM01000554|OLKM01000554.1 254929","Intron"
"379","ENA|OLKM01000562|OLKM01000562.1 252391","Intron"
"380","ENA|OLKM01000562|OLKM01000562.1 272799","Other"
"381","ENA|OLKM01000566|OLKM01000566.1 4374","Other"
"382","ENA|OLKM01000566|OLKM01000566.1 6849","Other"
"383","ENA|OLKM01000566|OLKM01000566.1 8241","Other"
"384","ENA|OLKM01000566|OLKM01000566.1 8854","Other"
"385","ENA|OLKM01000573|OLKM01000573.1 158712","Intron"
"386","ENA|OLKM01000573|OLKM01000573.1 158717","Intron"
"387","ENA|OLKM01000573|OLKM01000573.1 158925","Intron"
"388","ENA|OLKM01000573|OLKM01000573.1 159271","Intron"
"389","ENA|OLKM01000573|OLKM01000573.1 159291","Intron"
"390","ENA|OLKM01000573|OLKM01000573.1 159298","Intron"
"391","ENA|OLKM01000573|OLKM01000573.1 159300","Intron"
"392","ENA|OLKM01000573|OLKM01000573.1 232292","CDS"
"393","ENA|OLKM01000574|OLKM01000574.1 149585","Intron"
"394","ENA|OLKM01000574|OLKM01000574.1 149600","Intron"
"395","ENA|OLKM01000575|OLKM01000575.1 191270","Intron"
"396","ENA|OLKM01000575|OLKM01000575.1 191309","Intron"
"397","ENA|OLKM01000579|OLKM01000579.1 238705","CDS"
"398","ENA|OLKM01000584|OLKM01000584.1 220202","Other"
"399","ENA|OLKM01000585|OLKM01000585.1 160644","CDS"
"400","ENA|OLKM01000585|OLKM01000585.1 160744","Terminator"
"401","ENA|OLKM01000592|OLKM01000592.1 1561","Other"
"402","ENA|OLKM01000595|OLKM01000595.1 157225","Intron"
"403","ENA|OLKM01000596|OLKM01000596.1 153234","Other"
"404","ENA|OLKM01000607|OLKM01000607.1 257866","Other"
"405","ENA|OLKM01000610|OLKM01000610.1 238926","Other"
"406","ENA|OLKM01000613|OLKM01000613.1 250612","Other"
"407","ENA|OLKM01000613|OLKM01000613.1 255049","Other"
"408","ENA|OLKM01000619|OLKM01000619.1 67396","Intron"
"409","ENA|OLKM01000619|OLKM01000619.1 248970","Other"
"410","ENA|OLKM01000619|OLKM01000619.1 250207","Other"
"411","ENA|OLKM01000619|OLKM01000619.1 253018","Intron"
"412","ENA|OLKM01000626|OLKM01000626.1 239466","Other"
"413","ENA|OLKM01000626|OLKM01000626.1 240148","Other"
"414","ENA|OLKM01000628|OLKM01000628.1 23645","Intron"
"415","ENA|OLKM01000628|OLKM01000628.1 25264","Intron"
"416","ENA|OLKM01000634|OLKM01000634.1 232796","Other"
"417","ENA|OLKM01000635|OLKM01000635.1 171021","Intron"
"418","ENA|OLKM01000635|OLKM01000635.1 171935","UTR3"
"419","ENA|OLKM01000635|OLKM01000635.1 172094","UTR3"
"420","ENA|OLKM01000635|OLKM01000635.1 172595","UTR3"
"421","ENA|OLKM01000638|OLKM01000638.1 245244","Intron"
"422","ENA|OLKM01000644|OLKM01000644.1 144849","CDS"
"423","ENA|OLKM01000647|OLKM01000647.1 91101","Other"
"424","ENA|OLKM01000649|OLKM01000649.1 118499","Intron"
"425","ENA|OLKM01000649|OLKM01000649.1 245859","Other"
"426","ENA|OLKM01000655|OLKM01000655.1 124736","CDS"
