"","Loc","scaffold","position","Function"
"32","ENA|OLKM01000038|OLKM01000038.1 181666","OLKM01000038.1",181667,"Name=MEAE_00004800;Alias=maker-MeA_20160214_scaffold_37-augustus-gene-0.137;Note=Similar to SFRP2: Secreted frizzled-related protein 2 (Canis lupus familiaris);Dbxref=Gene3D:G3DSA:1.10.2000.10,Gene3D:G3DSA:2.40.50.120,InterPro:IPR001134,InterPro:IPR008993,InterPro:IPR015526,InterPro:IPR018933,InterPro:IPR020067,InterPro:IPR026558,PANTHER:PTHR11309,PANTHER:PTHR11309:SF45,Pfam:PF01392,Pfam:PF01759,ProSiteProfiles:PS50038,ProSiteProfiles:PS50189,SMART:SM00063,SMART:SM00643,SUPERFAMILY:SSF50242,SUPERFAMILY:SSF63501;Ontology_term=GO:0005515;"
"33","ENA|OLKM01000039|OLKM01000039.1 475482","OLKM01000039.1",475483,"Name=MEAE_00004921;Alias=snap_masked-MeA_20160214_scaffold_38-processed-gene-1.308;Note=Protein of unknown function;"
"34","ENA|OLKM01000042|OLKM01000042.1 243342","OLKM01000042.1",243343,"Name=MEAE_00005293;Alias=maker-MeA_20160214_scaffold_41-snap-gene-1.447;Note=Similar to arnt2: Aryl hydrocarbon receptor nuclear translocator 2 (Danio rerio);Dbxref=Gene3D:G3DSA:3.30.450.20,InterPro:IPR000014,PANTHER:PTHR23042,PANTHER:PTHR23042:SF6,ProSiteProfiles:PS50112,SUPERFAMILY:SSF55785;Ontology_term=GO:0004871,GO:0007165;"
"38","ENA|OLKM01000046|OLKM01000046.1 548666","OLKM01000046.1",548667,"Name=MEAE_00005793;Alias=maker-MeA_20160214_scaffold_45-augustus-gene-1.263;Note=Protein of unknown function;"
"39","ENA|OLKM01000046|OLKM01000046.1 549609","OLKM01000046.1",549610,"Name=MEAE_00005793;Alias=maker-MeA_20160214_scaffold_45-augustus-gene-1.263;Note=Protein of unknown function;"
"44","ENA|OLKM01000051|OLKM01000051.1 445392","OLKM01000051.1",445393,"Name=MEAE_00006259;Alias=snap_masked-MeA_20160214_scaffold_50-processed-gene-1.282;Note=Protein of unknown function;Dbxref=Coils:Coil;"
"45","ENA|OLKM01000052|OLKM01000052.1 174668","OLKM01000052.1",174669,"Name=MEAE_00006327;Alias=maker-MeA_20160214_scaffold_51-snap-gene-0.102;Note=Similar to Mapkapk2: MAP kinase-activated protein kinase 2 (Mus musculus);Dbxref=Gene3D:G3DSA:1.10.510.10,Gene3D:G3DSA:3.30.200.20,Gene3D:G3DSA:4.10.1170.10,InterPro:IPR000719,InterPro:IPR002290,InterPro:IPR008271,InterPro:IPR011009,InterPro:IPR017441,InterPro:IPR027442,PANTHER:PTHR24349,PANTHER:PTHR24349:SF63,Pfam:PF00069,ProSitePatterns:PS00107,ProSitePatterns:PS00108,ProSiteProfiles:PS50011,SMART:SM00220,SUPERFAMILY:SSF56112;Ontology_term=GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0016772;"
"46","ENA|OLKM01000054|OLKM01000054.1 27746","OLKM01000054.1",27747,"Name=MEAE_00006487;Alias=maker-MeA_20160214_scaffold_53-snap-gene-0.50;Note=Similar to Cadm2: Cell adhesion molecule 2 (Mus musculus);Dbxref=Gene3D:G3DSA:2.60.40.10,Gene3D:G3DSA:2.60.40.420,InterPro:IPR003598,InterPro:IPR003599,InterPro:IPR007110,InterPro:IPR008972,InterPro:IPR013106,InterPro:IPR013783,PANTHER:PTHR23277,PANTHER:PTHR23277:SF56,Pfam:PF07686,Pfam:PF13895,ProSiteProfiles:PS50835,SMART:SM00408,SMART:SM00409,SUPERFAMILY:SSF48726;Ontology_term=GO:0005515;"
"46.2","ENA|OLKM01000054|OLKM01000054.1 27746","OLKM01000054.1",27747,"Name=MEAE_00006489;Alias=maker-MeA_20160214_scaffold_53-snap-gene-1.302;Note=Protein of unknown function;Dbxref=PANTHER:PTHR23304;"
"47","ENA|OLKM01000054|OLKM01000054.1 322722","OLKM01000054.1",322723,"Name=MEAE_00006531;Alias=augustus_masked-MeA_20160214_scaffold_53-processed-gene-1.148;Note=Protein of unknown function;Dbxref=Coils:Coil;"
"48","ENA|OLKM01000054|OLKM01000054.1 553215","OLKM01000054.1",553216,"Name=MEAE_00006562;Alias=maker-MeA_20160214_scaffold_53-snap-gene-1.316;Note=Similar to lrfn1l: Leucine-rich repeat and fibronectin type III domain-containing protein 1-like protein (Danio rerio);Dbxref=Gene3D:G3DSA:2.60.40.10,Gene3D:G3DSA:3.80.10.10,InterPro:IPR000483,InterPro:IPR001611,InterPro:IPR003591,InterPro:IPR003598,InterPro:IPR003599,InterPro:IPR007110,InterPro:IPR013098,InterPro:IPR013783,PANTHER:PTHR24373,PANTHER:PTHR24373:SF1,Pfam:PF07679,Pfam:PF13855,ProSiteProfiles:PS50835,ProSiteProfiles:PS51450,SMART:SM00082,SMART:SM00369,SMART:SM00408,SMART:SM00409,SUPERFAMILY:SSF48726,SUPERFAMILY:SSF52058;Ontology_term=GO:0005515;"
"50","ENA|OLKM01000055|OLKM01000055.1 333425","OLKM01000055.1",333426,"Name=MEAE_00006611;Alias=maker-MeA_20160214_scaffold_54-snap-gene-1.321;Note=Similar to SLC2A9: Solute carrier family 2%2C facilitated glucose transporter member 9 (Pongo abelii);Dbxref=Gene3D:G3DSA:1.20.1250.20,InterPro:IPR003663,InterPro:IPR005828,InterPro:IPR005829,InterPro:IPR016196,InterPro:IPR020846,PANTHER:PTHR24063,PANTHER:PTHR24063:SF8,PRINTS:PR00171,Pfam:PF00083,ProSitePatterns:PS00216,ProSitePatterns:PS00217,ProSiteProfiles:PS50850,SUPERFAMILY:SSF103473,TIGRFAM:TIGR00879;Ontology_term=GO:0005215,GO:0006810,GO:0016020,GO:0016021,GO:0022857,GO:0022891,GO:0055085;"
"51","ENA|OLKM01000055|OLKM01000055.1 334006","OLKM01000055.1",334007,"Name=MEAE_00006611;Alias=maker-MeA_20160214_scaffold_54-snap-gene-1.321;Note=Similar to SLC2A9: Solute carrier family 2%2C facilitated glucose transporter member 9 (Pongo abelii);Dbxref=Gene3D:G3DSA:1.20.1250.20,InterPro:IPR003663,InterPro:IPR005828,InterPro:IPR005829,InterPro:IPR016196,InterPro:IPR020846,PANTHER:PTHR24063,PANTHER:PTHR24063:SF8,PRINTS:PR00171,Pfam:PF00083,ProSitePatterns:PS00216,ProSitePatterns:PS00217,ProSiteProfiles:PS50850,SUPERFAMILY:SSF103473,TIGRFAM:TIGR00879;Ontology_term=GO:0005215,GO:0006810,GO:0016020,GO:0016021,GO:0022857,GO:0022891,GO:0055085;"
"52","ENA|OLKM01000055|OLKM01000055.1 334676","OLKM01000055.1",334677,"Name=MEAE_00006611;Alias=maker-MeA_20160214_scaffold_54-snap-gene-1.321;Note=Similar to SLC2A9: Solute carrier family 2%2C facilitated glucose transporter member 9 (Pongo abelii);Dbxref=Gene3D:G3DSA:1.20.1250.20,InterPro:IPR003663,InterPro:IPR005828,InterPro:IPR005829,InterPro:IPR016196,InterPro:IPR020846,PANTHER:PTHR24063,PANTHER:PTHR24063:SF8,PRINTS:PR00171,Pfam:PF00083,ProSitePatterns:PS00216,ProSitePatterns:PS00217,ProSiteProfiles:PS50850,SUPERFAMILY:SSF103473,TIGRFAM:TIGR00879;Ontology_term=GO:0005215,GO:0006810,GO:0016020,GO:0016021,GO:0022857,GO:0022891,GO:0055085;"
"53","ENA|OLKM01000055|OLKM01000055.1 335933","OLKM01000055.1",335934,"Name=MEAE_00006611;Alias=maker-MeA_20160214_scaffold_54-snap-gene-1.321;Note=Similar to SLC2A9: Solute carrier family 2%2C facilitated glucose transporter member 9 (Pongo abelii);Dbxref=Gene3D:G3DSA:1.20.1250.20,InterPro:IPR003663,InterPro:IPR005828,InterPro:IPR005829,InterPro:IPR016196,InterPro:IPR020846,PANTHER:PTHR24063,PANTHER:PTHR24063:SF8,PRINTS:PR00171,Pfam:PF00083,ProSitePatterns:PS00216,ProSitePatterns:PS00217,ProSiteProfiles:PS50850,SUPERFAMILY:SSF103473,TIGRFAM:TIGR00879;Ontology_term=GO:0005215,GO:0006810,GO:0016020,GO:0016021,GO:0022857,GO:0022891,GO:0055085;"
"54","ENA|OLKM01000059|OLKM01000059.1 564944","OLKM01000059.1",564945,"Name=MEAE_00007064;Alias=maker-MeA_20160214_scaffold_58-snap-gene-1.397;Note=Similar to Eif2ak4: eIF-2-alpha kinase GCN2 (Rattus norvegicus);Dbxref=Coils:Coil,Gene3D:G3DSA:1.10.510.10,Gene3D:G3DSA:3.10.110.10,Gene3D:G3DSA:3.30.200.20,Gene3D:G3DSA:3.30.930.10,InterPro:IPR000719,InterPro:IPR001265,InterPro:IPR002290,InterPro:IPR006575,InterPro:IPR007087,InterPro:IPR008271,InterPro:IPR011009,InterPro:IPR015425,InterPro:IPR016135,InterPro:IPR017441,InterPro:IPR024435,PANTHER:PTHR11042,PANTHER:PTHR11042:SF70,PRINTS:PR00828,Pfam:PF00069,Pfam:PF02181,Pfam:PF05773,Pfam:PF12745,Pfam:PF13393,ProSitePatterns:PS00028,ProSitePatterns:PS00107,ProSitePatterns:PS00108,ProSiteProfiles:PS50011,ProSiteProfiles:PS50908,ProSiteProfiles:PS51444,SMART:SM00220,SMART:SM00498,SMART:SM00591,SUPERFAMILY:SSF101447,SUPERFAMILY:SSF54495,SUPERFAMILY:SSF55681,SUPERFAMILY:SSF56112;Ontology_term=GO:0004672,GO:0004674,GO:0005515,GO:0005524,GO:0005884,GO:0006468,GO:0016772,GO:0045010,GO:0046872;"
"54.2","ENA|OLKM01000059|OLKM01000059.1 564944","OLKM01000059.1",564945,"Name=MEAE_00007074;Alias=snap_masked-MeA_20160214_scaffold_58-processed-gene-1.318;Note=Protein of unknown function;"
"55","ENA|OLKM01000061|OLKM01000061.1 88233","OLKM01000061.1",88234,"Name=MEAE_00007227;Alias=maker-MeA_20160214_scaffold_60-snap-gene-1.497;Note=Similar to USP31: Ubiquitin carboxyl-terminal hydrolase 31 (Homo sapiens);Dbxref=InterPro:IPR001394,InterPro:IPR018200,InterPro:IPR028889,PANTHER:PTHR24006,PANTHER:PTHR24006:SF400,Pfam:PF00443,ProSitePatterns:PS00972,ProSitePatterns:PS00973,ProSiteProfiles:PS50235,SUPERFAMILY:SSF54001;Ontology_term=GO:0006511,GO:0036459;"
"60","ENA|OLKM01000067|OLKM01000067.1 417577","OLKM01000067.1",417578,"Name=MEAE_00007837;Alias=maker-MeA_20160214_scaffold_66-snap-gene-1.168;Note=Protein of unknown function;Dbxref=PANTHER:PTHR23304;"
"60.4","ENA|OLKM01000067|OLKM01000067.1 417577","OLKM01000067.1",417578,"Name=MEAE_00007842;Alias=snap_masked-MeA_20160214_scaffold_66-processed-gene-1.147;Note=Protein of unknown function;"
"61","ENA|OLKM01000068|OLKM01000068.1 329302","OLKM01000068.1",329303,"Name=MEAE_00007902;Alias=maker-MeA_20160214_scaffold_67-snap-gene-1.245;Note=Protein of unknown function;Dbxref=PANTHER:PTHR23304;"
"61.2","ENA|OLKM01000068|OLKM01000068.1 329302","OLKM01000068.1",329303,"Name=MEAE_00007906;Alias=snap_masked-MeA_20160214_scaffold_67-processed-gene-1.195;Note=Protein of unknown function;"
"62","ENA|OLKM01000072|OLKM01000072.1 600280","OLKM01000072.1",600281,"Name=MEAE_00008306;Alias=maker-MeA_20160214_scaffold_71-snap-gene-1.403;Note=Similar to ADAMTS9: A disintegrin and metalloproteinase with thrombospondin motifs 9 (Homo sapiens);Dbxref=Gene3D:G3DSA:2.20.100.10,InterPro:IPR000884,InterPro:IPR010294,InterPro:IPR012314,InterPro:IPR013273,PANTHER:PTHR13723,PANTHER:PTHR13723:SF165,PRINTS:PR01857,Pfam:PF00090,Pfam:PF05986,Pfam:PF08685,ProSiteProfiles:PS50092,ProSiteProfiles:PS51046,SMART:SM00209,SUPERFAMILY:SSF82895;Ontology_term=GO:0004222,GO:0005578,GO:0008237,GO:0008270,GO:0031012;"
"64","ENA|OLKM01000075|OLKM01000075.1 19191","OLKM01000075.1",19192,"Name=MEAE_00008499;Alias=maker-MeA_20160214_scaffold_74-snap-gene-0.83;Note=Similar to SMARCA4: Transcription activator BRG1 (Homo sapiens);Dbxref=Coils:Coil,Gene3D:G3DSA:1.20.920.10,Gene3D:G3DSA:3.40.390.10,Gene3D:G3DSA:3.40.50.300,InterPro:IPR000330,InterPro:IPR000884,InterPro:IPR001487,InterPro:IPR001590,InterPro:IPR001650,InterPro:IPR002870,InterPro:IPR006576,InterPro:IPR010294,InterPro:IPR010909,InterPro:IPR013273,InterPro:IPR013999,InterPro:IPR014001,InterPro:IPR014012,InterPro:IPR018359,InterPro:IPR024079,InterPro:IPR027417,InterPro:IPR029295,PANTHER:PTHR10799,PANTHER:PTHR10799:SF541,PRINTS:PR00503,PRINTS:PR01857,Pfam:PF00176,Pfam:PF00271,Pfam:PF00439,Pfam:PF01562,Pfam:PF05986,Pfam:PF07529,Pfam:PF07533,Pfam:PF13688,Pfam:PF14619,ProSitePatterns:PS00633,ProSiteProfiles:PS50014,ProSiteProfiles:PS50092,ProSiteProfiles:PS50215,ProSiteProfiles:PS50900,ProSiteProfiles:PS51192,ProSiteProfiles:PS51194,ProSiteProfiles:PS51204,SMART:SM00209,SMART:SM00297,SMART:SM00487,SMART:SM00490,SMART:SM00573,SMART:SM00592,SUPERFAMILY:SSF160481,SUPERFAMILY:SSF47370,SUPERFAMILY:SSF52540,SUPERFAMILY:SSF55486,SUPERFAMILY:SSF82895;Ontology_term=GO:0003676,GO:0003677,GO:0004222,GO:0004386,GO:0005515,GO:0005524,GO:0005578,GO:0006508,GO:0008233,GO:0008237,GO:0008270,GO:0016817,GO:0031012,GO:0042393;"
"64.2","ENA|OLKM01000075|OLKM01000075.1 19191","OLKM01000075.1",19192,"Name=MEAE_00008500;Alias=snap_masked-MeA_20160214_scaffold_74-processed-gene-0.43;Note=Protein of unknown function;"
