"","Loc","scaffold","position","gff_scaffold","scaffold.1","V2","feature_type","start","end","V6","V7","V8","ID","Name","Alias","Note"
"8","OLKM01000062.1 41157","OLKM01000062.1",41158,"MeA_20160214_scaffold_61","OLKM01000062.1","maker","gene",40779,41195,".","-",".","ID=MEAE_00007339","MEAE_00007339","Alias=snap_masked-MeA_20160214_scaffold_61-processed-gene-0.125","Similar to SLC16A5: Monocarboxylate transporter 6 (Homo sapiens)"
"9","OLKM01000065.1 529292","OLKM01000065.1",529293,"MeA_20160214_scaffold_64","OLKM01000065.1","maker","gene",512933,594512,".","-",".","ID=MEAE_00007701","MEAE_00007701","Alias=maker-MeA_20160214_scaffold_64-snap-gene-1.156","Similar to ADAMTS7: A disintegrin and metalloproteinase with thrombospondin motifs 7 (Homo sapiens)"
"10","OLKM01000071.1 39412","OLKM01000071.1",39413,"MeA_20160214_scaffold_70","OLKM01000071.1","maker","gene",36575,39772,".","-",".","ID=MEAE_00008145","MEAE_00008145","Alias=augustus_masked-MeA_20160214_scaffold_70-processed-gene-1.162","Similar to plpp7: Inactive phospholipid phosphatase 7 (Danio rerio)"
"10.4","OLKM01000071.1 39412","OLKM01000071.1",39413,"MeA_20160214_scaffold_70","OLKM01000071.1","maker","gene",36606,39422,".","+",".","ID=MEAE_00008146","MEAE_00008146","Alias=snap_masked-MeA_20160214_scaffold_70-processed-gene-1.183","Protein of unknown function"
"11","OLKM01000071.1 39728","OLKM01000071.1",39729,"MeA_20160214_scaffold_70","OLKM01000071.1","maker","gene",36575,39772,".","-",".","ID=MEAE_00008145","MEAE_00008145","Alias=augustus_masked-MeA_20160214_scaffold_70-processed-gene-1.162","Similar to plpp7: Inactive phospholipid phosphatase 7 (Danio rerio)"
"12","OLKM01000071.1 39740","OLKM01000071.1",39741,"MeA_20160214_scaffold_70","OLKM01000071.1","maker","gene",36575,39772,".","-",".","ID=MEAE_00008145","MEAE_00008145","Alias=augustus_masked-MeA_20160214_scaffold_70-processed-gene-1.162","Similar to plpp7: Inactive phospholipid phosphatase 7 (Danio rerio)"
"13","OLKM01000076.1 7284","OLKM01000076.1",7285,"MeA_20160214_scaffold_75","OLKM01000076.1","maker","gene",33,35117,".","-",".","ID=MEAE_00008558","MEAE_00008558","Alias=maker-MeA_20160214_scaffold_75-snap-gene-1.313","Similar to MAST1: Microtubule-associated serine/threonine-protein kinase 1 (Homo sapiens)"
"16","OLKM01000139.1 79316","OLKM01000139.1",79317,"MeA_20160214_scaffold_138","OLKM01000139.1","maker","gene",73942,80574,".","-",".","ID=MEAE_00013440","MEAE_00013440","Alias=maker-MeA_20160214_scaffold_138-snap-gene-0.204","Similar to cpeb1: Cytoplasmic polyadenylation element-binding protein 1 (Carassius auratus)"
"17","OLKM01000142.1 437260","OLKM01000142.1",437261,"MeA_20160214_scaffold_141","OLKM01000142.1","maker","gene",420591,451348,".","+",".","ID=MEAE_00013624","MEAE_00013624","Alias=maker-MeA_20160214_scaffold_141-snap-gene-0.374","Similar to TMEM260: Transmembrane protein 260 (Homo sapiens)"
"18","OLKM01000150.1 277283","OLKM01000150.1",277284,"MeA_20160214_scaffold_149","OLKM01000150.1","maker","gene",260791,279550,".","+",".","ID=MEAE_00014111","MEAE_00014111","Alias=maker-MeA_20160214_scaffold_149-augustus-gene-0.271","Similar to FOXJ3: Forkhead box protein J3 (Homo sapiens)"
"19","OLKM01000154.1 143166","OLKM01000154.1",143167,"MeA_20160214_scaffold_153","OLKM01000154.1","maker","gene",140694,149255,".","+",".","ID=MEAE_00014364","MEAE_00014364","Alias=snap_masked-MeA_20160214_scaffold_153-processed-gene-0.153","Similar to znrf1: E3 ubiquitin-protein ligase znrf1 (Danio rerio)"
"19.2","OLKM01000154.1 143166","OLKM01000154.1",143167,"MeA_20160214_scaffold_153","OLKM01000154.1","maker","gene",124256,197679,".","-",".","ID=MEAE_00014362","MEAE_00014362","Alias=maker-MeA_20160214_scaffold_153-snap-gene-0.284","Similar to Fam169b: Protein FAM169B (Mus musculus)"
"20","OLKM01000157.1 95384","OLKM01000157.1",95385,"MeA_20160214_scaffold_156","OLKM01000157.1","maker","gene",89860,118961,".","-",".","ID=MEAE_00014593","MEAE_00014593","Alias=maker-MeA_20160214_scaffold_156-snap-gene-0.264","Similar to MRC1: Macrophage mannose receptor 1 (Homo sapiens)"
"20.4","OLKM01000157.1 95384","OLKM01000157.1",95385,"MeA_20160214_scaffold_156","OLKM01000157.1","maker","gene",90450,95572,".","+",".","ID=MEAE_00014594","MEAE_00014594","Alias=snap_masked-MeA_20160214_scaffold_156-processed-gene-0.148","Protein of unknown function"
"21","OLKM01000172.1 114485","OLKM01000172.1",114486,"MeA_20160214_scaffold_171","OLKM01000172.1","maker","gene",112219,120109,".","+",".","ID=MEAE_00015659","MEAE_00015659","Alias=snap_masked-MeA_20160214_scaffold_171-processed-gene-0.154","Protein of unknown function"
"21.2","OLKM01000172.1 114485","OLKM01000172.1",114486,"MeA_20160214_scaffold_171","OLKM01000172.1","maker","gene",111218,171419,".","-",".","ID=MEAE_00015658","MEAE_00015658","Alias=maker-MeA_20160214_scaffold_171-snap-gene-0.263","Similar to slc25a26: S-adenosylmethionine mitochondrial carrier protein (Danio rerio)"
"22","OLKM01000174.1 172833","OLKM01000174.1",172834,"MeA_20160214_scaffold_173","OLKM01000174.1","maker","gene",167240,174006,".","-",".","ID=MEAE_00015828","MEAE_00015828","Alias=maker-MeA_20160214_scaffold_173-augustus-gene-0.244","Similar to Slc30a4: Zinc transporter 4 (Rattus norvegicus)"
"24","OLKM01000184.1 372532","OLKM01000184.1",372533,"MeA_20160214_scaffold_183","OLKM01000184.1","maker","gene",360580,388489,".","+",".","ID=MEAE_00016556","MEAE_00016556","Alias=maker-MeA_20160214_scaffold_183-snap-gene-0.284","Similar to Ppp1r9b: Neurabin-2 (Rattus norvegicus)"
"25","OLKM01000222.1 253379","OLKM01000222.1",253380,"MeA_20160214_scaffold_221","OLKM01000222.1","maker","gene",246263,255927,".","-",".","ID=MEAE_00019050","MEAE_00019050","Alias=maker-MeA_20160214_scaffold_221-snap-gene-0.329","Similar to FAM63B: Protein FAM63B (Homo sapiens)"
"26","OLKM01000240.1 254681","OLKM01000240.1",254682,"MeA_20160214_scaffold_239","OLKM01000240.1","maker","gene",253153,258998,".","+",".","ID=MEAE_00020252","MEAE_00020252","Alias=snap_masked-MeA_20160214_scaffold_239-processed-gene-0.191","Protein of unknown function"
"26.2","OLKM01000240.1 254681","OLKM01000240.1",254682,"MeA_20160214_scaffold_239","OLKM01000240.1","maker","gene",253074,258426,".","-",".","ID=MEAE_00020251","MEAE_00020251","Alias=snap_masked-MeA_20160214_scaffold_239-processed-gene-0.247","Protein of unknown function"
"27","OLKM01000250.1 196763","OLKM01000250.1",196764,"MeA_20160214_scaffold_249","OLKM01000250.1","maker","gene",196556,203831,".","+",".","ID=MEAE_00020988","MEAE_00020988","Alias=snap_masked-MeA_20160214_scaffold_249-processed-gene-0.164","Protein of unknown function"
"27.4","OLKM01000250.1 196763","OLKM01000250.1",196764,"MeA_20160214_scaffold_249","OLKM01000250.1","maker","gene",172907,274516,".","-",".","ID=MEAE_00020984","MEAE_00020984","Alias=maker-MeA_20160214_scaffold_249-snap-gene-0.297","Similar to Ephb2: Ephrin type-B receptor 2 (Mus musculus)"
"28","OLKM01000254.1 5604","OLKM01000254.1",5605,"MeA_20160214_scaffold_253","OLKM01000254.1","maker","gene",3,30323,".","-",".","ID=MEAE_00021209","MEAE_00021209","Alias=maker-MeA_20160214_scaffold_253-snap-gene-0.244","Similar to zgc:113413: Natterin-like protein (Danio rerio)"
"29","OLKM01000273.1 149074","OLKM01000273.1",149075,"MeA_20160214_scaffold_272","OLKM01000273.1","maker","gene",147072,167205,".","+",".","ID=MEAE_00022384","MEAE_00022384","Alias=maker-MeA_20160214_scaffold_272-snap-gene-0.223","Similar to PAPD7: Non-canonical poly(A) RNA polymerase PAPD7 (Homo sapiens)"
"30","OLKM01000308.1 323480","OLKM01000308.1",323481,"MeA_20160214_scaffold_307","OLKM01000308.1","maker","gene",322443,323996,".","+",".","ID=MEAE_00024370","MEAE_00024370","Alias=maker-MeA_20160214_scaffold_307-snap-gene-0.240","Similar to RAB33B: Ras-related protein Rab-33B (Pongo abelii)"
"31","OLKM01000325.1 249463","OLKM01000325.1",249464,"MeA_20160214_scaffold_324","OLKM01000325.1","maker","gene",248135,250535,".","+",".","ID=MEAE_00025392","MEAE_00025392","Alias=snap_masked-MeA_20160214_scaffold_324-processed-gene-0.189","Protein of unknown function"
"33","OLKM01000326.1 179184","OLKM01000326.1",179185,"MeA_20160214_scaffold_325","OLKM01000326.1","maker","gene",176329,179370,".","-",".","ID=MEAE_00025448","MEAE_00025448","Alias=snap_masked-MeA_20160214_scaffold_325-processed-gene-0.216","Protein of unknown function"
"34","OLKM01000346.1 149536","OLKM01000346.1",149537,"MeA_20160214_scaffold_345","OLKM01000346.1","maker","gene",79264,187436,".","-",".","ID=MEAE_00026666","MEAE_00026666","Alias=maker-MeA_20160214_scaffold_345-snap-gene-0.289","Similar to pola1: DNA polymerase alpha catalytic subunit (Xenopus laevis)"
"34.2","OLKM01000346.1 149536","OLKM01000346.1",149537,"MeA_20160214_scaffold_345","OLKM01000346.1","maker","gene",145377,151444,".","+",".","ID=MEAE_00026676","MEAE_00026676","Alias=snap_masked-MeA_20160214_scaffold_345-processed-gene-0.164","Protein of unknown function"
"35","OLKM01000408.1 57093","OLKM01000408.1",57094,"MeA_20160214_scaffold_407","OLKM01000408.1","maker","gene",54686,58223,".","+",".","ID=MEAE_00029803","MEAE_00029803","Alias=snap_masked-MeA_20160214_scaffold_407-processed-gene-0.94","Similar to SNX33: Sorting nexin-33 (Homo sapiens)"
"35.2","OLKM01000408.1 57093","OLKM01000408.1",57094,"MeA_20160214_scaffold_407","OLKM01000408.1","maker","gene",53532,57643,".","-",".","ID=MEAE_00029802","MEAE_00029802","Alias=snap_masked-MeA_20160214_scaffold_407-processed-gene-0.111","Protein of unknown function"
"36","OLKM01000429.1 146443","OLKM01000429.1",146444,"MeA_20160214_scaffold_428","OLKM01000429.1","maker","gene",134858,157359,".","+",".","ID=MEAE_00030892","MEAE_00030892","Alias=maker-MeA_20160214_scaffold_428-snap-gene-0.180","Similar to Arhgap17: Rho GTPase-activating protein 17 (Rattus norvegicus)"
"36.2","OLKM01000429.1 146443","OLKM01000429.1",146444,"MeA_20160214_scaffold_428","OLKM01000429.1","maker","gene",140962,163252,".","-",".","ID=MEAE_00030893","MEAE_00030893","Alias=snap_masked-MeA_20160214_scaffold_428-processed-gene-0.133","Protein of unknown function"
"37","OLKM01000468.1 268959","OLKM01000468.1",268960,"MeA_20160214_scaffold_467","OLKM01000468.1","maker","gene",268297,274579,".","+",".","ID=MEAE_00032655","MEAE_00032655","Alias=maker-MeA_20160214_scaffold_467-snap-gene-0.167","Protein of unknown function"
"37.2","OLKM01000468.1 268959","OLKM01000468.1",268960,"MeA_20160214_scaffold_467","OLKM01000468.1","maker","gene",266547,269085,".","-",".","ID=MEAE_00032654","MEAE_00032654","Alias=maker-MeA_20160214_scaffold_467-snap-gene-0.175","Protein of unknown function"
"38","OLKM01000517.1 207181","OLKM01000517.1",207182,"MeA_20160214_scaffold_516","OLKM01000517.1","maker","gene",201734,208179,".","+",".","ID=MEAE_00034771","MEAE_00034771","Alias=snap_masked-MeA_20160214_scaffold_516-processed-gene-0.121","Protein of unknown function"
"40","OLKM01000648.1 136736","OLKM01000648.1",136737,"MeA_20160214_scaffold_647","OLKM01000648.1","maker","gene",133878,137799,".","+",".","ID=MEAE_00040168","MEAE_00040168","Alias=maker-MeA_20160214_scaffold_647-augustus-gene-0.120","Similar to znf503: Zinc finger protein 503 (Danio rerio)"
"40.4","OLKM01000648.1 136736","OLKM01000648.1",136737,"MeA_20160214_scaffold_647","OLKM01000648.1","maker","gene",54694,180595,".","-",".","ID=MEAE_00040162","MEAE_00040162","Alias=maker-MeA_20160214_scaffold_647-snap-gene-0.139","Protein of unknown function"
"41","OLKM01000648.1 136874","OLKM01000648.1",136875,"MeA_20160214_scaffold_647","OLKM01000648.1","maker","gene",133878,137799,".","+",".","ID=MEAE_00040168","MEAE_00040168","Alias=maker-MeA_20160214_scaffold_647-augustus-gene-0.120","Similar to znf503: Zinc finger protein 503 (Danio rerio)"
"41.4","OLKM01000648.1 136874","OLKM01000648.1",136875,"MeA_20160214_scaffold_647","OLKM01000648.1","maker","gene",54694,180595,".","-",".","ID=MEAE_00040162","MEAE_00040162","Alias=maker-MeA_20160214_scaffold_647-snap-gene-0.139","Protein of unknown function"
"42","OLKM01000671.1 167026","OLKM01000671.1",167027,"MeA_20160214_scaffold_670","OLKM01000671.1","maker","gene",166192,170912,".","+",".","ID=MEAE_00041060","MEAE_00041060","Alias=maker-MeA_20160214_scaffold_670-augustus-gene-0.125","Similar to DUSP6: Dual specificity protein phosphatase 6 (Homo sapiens)"
"43","OLKM01000677.1 217888","OLKM01000677.1",217889,"MeA_20160214_scaffold_676","OLKM01000677.1","maker","gene",158818,238999,".","-",".","ID=MEAE_00041273","MEAE_00041273","Alias=maker-MeA_20160214_scaffold_676-snap-gene-0.197","Similar to jag1b: Protein jagged-1b (Danio rerio)"
"46","OLKM01000741.1 219536","OLKM01000741.1",219537,"MeA_20160214_scaffold_740","OLKM01000741.1","maker","gene",217623,219715,".","+",".","ID=MEAE_00043302","MEAE_00043302","Alias=genemark-MeA_20160214_scaffold_740-processed-gene-0.35","Protein of unknown function"
"47","OLKM01000765.1 85510","OLKM01000765.1",85511,"MeA_20160214_scaffold_764","OLKM01000765.1","maker","gene",76760,85924,".","+",".","ID=MEAE_00044129","MEAE_00044129","Alias=snap_masked-MeA_20160214_scaffold_764-processed-gene-0.74","Protein of unknown function"
"47.2","OLKM01000765.1 85510","OLKM01000765.1",85511,"MeA_20160214_scaffold_764","OLKM01000765.1","maker","gene",83226,87753,".","-",".","ID=MEAE_00044131","MEAE_00044131","Alias=genemark-MeA_20160214_scaffold_764-processed-gene-0.40","Similar to pol: Retrovirus-related Pol polyprotein from transposon 17.6 (Drosophila melanogaster)"
"49","OLKM01000782.1 216325","OLKM01000782.1",216326,"MeA_20160214_scaffold_781","OLKM01000782.1","maker","gene",214573,219972,".","-",".","ID=MEAE_00044686","MEAE_00044686","Alias=maker-MeA_20160214_scaffold_781-snap-gene-0.143","Protein of unknown function"
"50","OLKM01000897.1 48793","OLKM01000897.1",48794,"MeA_20160214_scaffold_896","OLKM01000897.1","maker","gene",25982,54938,".","-",".","ID=MEAE_00048414","MEAE_00048414","Alias=maker-MeA_20160214_scaffold_896-snap-gene-0.169","Similar to ARID2: AT-rich interactive domain-containing protein 2 (Homo sapiens)"
"51","OLKM01000897.1 51253","OLKM01000897.1",51254,"MeA_20160214_scaffold_896","OLKM01000897.1","maker","gene",25982,54938,".","-",".","ID=MEAE_00048414","MEAE_00048414","Alias=maker-MeA_20160214_scaffold_896-snap-gene-0.169","Similar to ARID2: AT-rich interactive domain-containing protein 2 (Homo sapiens)"
"52","OLKM01000900.1 147900","OLKM01000900.1",147901,"MeA_20160214_scaffold_899","OLKM01000900.1","maker","gene",131537,162043,".","-",".","ID=MEAE_00048518","MEAE_00048518","Alias=augustus_masked-MeA_20160214_scaffold_899-processed-gene-0.51","Similar to ASAP3: Arf-GAP with SH3 domain%2C ANK repeat and PH domain-containing protein 3 (Homo sapiens)"
"52.2","OLKM01000900.1 147900","OLKM01000900.1",147901,"MeA_20160214_scaffold_899","OLKM01000900.1","maker","gene",142529,148646,".","+",".","ID=MEAE_00048520","MEAE_00048520","Alias=snap_masked-MeA_20160214_scaffold_899-processed-gene-0.62","Protein of unknown function"
"53","OLKM01000919.1 110313","OLKM01000919.1",110314,"MeA_20160214_scaffold_918","OLKM01000919.1","maker","gene",25786,113826,".","-",".","ID=MEAE_00049082","MEAE_00049082","Alias=maker-MeA_20160214_scaffold_918-snap-gene-0.152","Similar to LRP1: Low-density lipoprotein receptor-related protein 1 (Gallus gallus)"
"54","OLKM01000931.1 127081","OLKM01000931.1",127082,"MeA_20160214_scaffold_930","OLKM01000931.1","maker","gene",91668,139836,".","-",".","ID=MEAE_00049445","MEAE_00049445","Alias=maker-MeA_20160214_scaffold_930-snap-gene-0.117","Protein of unknown function"
"54.2","OLKM01000931.1 127081","OLKM01000931.1",127082,"MeA_20160214_scaffold_930","OLKM01000931.1","maker","gene",118499,130865,".","+",".","ID=MEAE_00049448","MEAE_00049448","Alias=snap_masked-MeA_20160214_scaffold_930-processed-gene-0.71","Protein of unknown function"
"55","OLKM01000964.1 154492","OLKM01000964.1",154493,"MeA_20160214_scaffold_963","OLKM01000964.1","maker","gene",153092,159738,".","+",".","ID=MEAE_00050382","MEAE_00050382","Alias=snap_masked-MeA_20160214_scaffold_963-processed-gene-0.117","Similar to CASP10: Caspase-10 (Homo sapiens)"
"55.4","OLKM01000964.1 154492","OLKM01000964.1",154493,"MeA_20160214_scaffold_963","OLKM01000964.1","maker","gene",154355,156275,".","-",".","ID=MEAE_00050383","MEAE_00050383","Alias=snap_masked-MeA_20160214_scaffold_963-processed-gene-0.150","Protein of unknown function"
"56","OLKM01000984.1 119632","OLKM01000984.1",119633,"MeA_20160214_scaffold_983","OLKM01000984.1","maker","gene",104607,120546,".","-",".","ID=MEAE_00051009","MEAE_00051009","Alias=maker-MeA_20160214_scaffold_983-snap-gene-0.124","Similar to TRMT1: tRNA (guanine(26)-N(2))-dimethyltransferase (Homo sapiens)"
"57","OLKM01000984.1 148499","OLKM01000984.1",148500,"MeA_20160214_scaffold_983","OLKM01000984.1","maker","gene",141447,153257,".","+",".","ID=MEAE_00051013","MEAE_00051013","Alias=maker-MeA_20160214_scaffold_983-snap-gene-0.113","Similar to TRIM16: Tripartite motif-containing protein 16 (Homo sapiens)"
"57.2","OLKM01000984.1 148499","OLKM01000984.1",148500,"MeA_20160214_scaffold_983","OLKM01000984.1","maker","gene",147863,150664,".","-",".","ID=MEAE_00051014","MEAE_00051014","Alias=snap_masked-MeA_20160214_scaffold_983-processed-gene-0.88","Protein of unknown function"
"58","OLKM01000989.1 36791","OLKM01000989.1",36792,"MeA_20160214_scaffold_988","OLKM01000989.1","maker","gene",4441,47279,".","+",".","ID=MEAE_00051137","MEAE_00051137","Alias=maker-MeA_20160214_scaffold_988-snap-gene-0.112","Similar to KLHL12: Kelch-like protein 12 (Homo sapiens)"
"58.2","OLKM01000989.1 36791","OLKM01000989.1",36792,"MeA_20160214_scaffold_988","OLKM01000989.1","maker","gene",35423,43563,".","-",".","ID=MEAE_00051143","MEAE_00051143","Alias=maker-MeA_20160214_scaffold_988-snap-gene-0.118","Similar to SARS2: Serine--tRNA ligase%2C mitochondrial (Bos taurus)"
"59","OLKM01001085.1 79805","OLKM01001085.1",79806,"MeA_20160214_scaffold_1084","OLKM01001085.1","maker","gene",76170,82579,".","-",".","ID=MEAE_00053836","MEAE_00053836","Alias=maker-MeA_20160214_scaffold_1084-snap-gene-0.166","Protein of unknown function"
"59.2","OLKM01001085.1 79805","OLKM01001085.1",79806,"MeA_20160214_scaffold_1084","OLKM01001085.1","maker","gene",78918,80956,".","+",".","ID=MEAE_00053837","MEAE_00053837","Alias=snap_masked-MeA_20160214_scaffold_1084-processed-gene-0.84","Similar to WBP2NL: Postacrosomal sheath WW domain-binding protein (Homo sapiens)"
"60","OLKM01001108.1 98733","OLKM01001108.1",98734,"MeA_20160214_scaffold_1107","OLKM01001108.1","maker","gene",18552,113433,".","+",".","ID=MEAE_00054462","MEAE_00054462","Alias=maker-MeA_20160214_scaffold_1107-snap-gene-0.96","Similar to Elavl4: ELAV-like protein 4 (Mus musculus)"
"61","OLKM01001117.1 89749","OLKM01001117.1",89750,"MeA_20160214_scaffold_1116","OLKM01001117.1","maker","gene",86355,92408,".","-",".","ID=MEAE_00054740","MEAE_00054740","Alias=snap_masked-MeA_20160214_scaffold_1116-processed-gene-0.128","Protein of unknown function"
"62","OLKM01001152.1 27816","OLKM01001152.1",27817,"MeA_20160214_scaffold_1151","OLKM01001152.1","maker","gene",26509,28317,".","+",".","ID=MEAE_00055662","MEAE_00055662","Alias=maker-MeA_20160214_scaffold_1151-augustus-gene-0.118","Similar to C19orf43: Uncharacterized protein C19orf43 (Homo sapiens)"
"63","OLKM01001156.1 13757","OLKM01001156.1",13758,"MeA_20160214_scaffold_1155","OLKM01001156.1","maker","gene",9918,14901,".","-",".","ID=MEAE_00055779","MEAE_00055779","Alias=augustus_masked-MeA_20160214_scaffold_1155-processed-gene-0.55","Similar to DHRS4: Dehydrogenase/reductase SDR family member 4 (Sus scrofa)"
"64","OLKM01001160.1 38872","OLKM01001160.1",38873,"MeA_20160214_scaffold_1159","OLKM01001160.1","maker","gene",20795,118040,".","+",".","ID=MEAE_00055885","MEAE_00055885","Alias=maker-MeA_20160214_scaffold_1159-snap-gene-0.93","Similar to MARS: Methionine--tRNA ligase%2C cytoplasmic (Homo sapiens)"
"64.2","OLKM01001160.1 38872","OLKM01001160.1",38873,"MeA_20160214_scaffold_1159","OLKM01001160.1","maker","gene",32936,45783,".","-",".","ID=MEAE_00055886","MEAE_00055886","Alias=snap_masked-MeA_20160214_scaffold_1159-processed-gene-0.70","Protein of unknown function"
"65","OLKM01001162.1 17794","OLKM01001162.1",17795,"MeA_20160214_scaffold_1161","OLKM01001162.1","maker","gene",17662,17981,".","+",".","ID=MEAE_00055932","MEAE_00055932","Alias=genemark-MeA_20160214_scaffold_1161-processed-gene-0.4","Protein of unknown function"
"66","OLKM01001162.1 17808","OLKM01001162.1",17809,"MeA_20160214_scaffold_1161","OLKM01001162.1","maker","gene",17662,17981,".","+",".","ID=MEAE_00055932","MEAE_00055932","Alias=genemark-MeA_20160214_scaffold_1161-processed-gene-0.4","Protein of unknown function"
"68","OLKM01001209.1 28645","OLKM01001209.1",28646,"MeA_20160214_scaffold_1208","OLKM01001209.1","maker","gene",19871,34855,".","+",".","ID=MEAE_00057149","MEAE_00057149","Alias=maker-MeA_20160214_scaffold_1208-snap-gene-0.91","Similar to QRICH1: Glutamine-rich protein 1 (Bos taurus)"
"69","OLKM01001299.1 10132","OLKM01001299.1",10133,"MeA_20160214_scaffold_1298","OLKM01001299.1","maker","gene",8907,101693,".","+",".","ID=MEAE_00059218","MEAE_00059218","Alias=maker-MeA_20160214_scaffold_1298-snap-gene-0.113","Protein of unknown function"
"69.4","OLKM01001299.1 10132","OLKM01001299.1",10133,"MeA_20160214_scaffold_1298","OLKM01001299.1","maker","gene",6274,13585,".","-",".","ID=MEAE_00059217","MEAE_00059217","Alias=genemark-MeA_20160214_scaffold_1298-processed-gene-0.34","Similar to dlc: Delta-like protein C (Danio rerio)"
"70","OLKM01001318.1 60659","OLKM01001318.1",60660,"MeA_20160214_scaffold_1317","OLKM01001318.1","maker","gene",60474,63666,".","+",".","ID=MEAE_00059631","MEAE_00059631","Alias=snap_masked-MeA_20160214_scaffold_1317-processed-gene-0.44","Protein of unknown function"
"70.4","OLKM01001318.1 60659","OLKM01001318.1",60660,"MeA_20160214_scaffold_1317","OLKM01001318.1","maker","gene",60539,61267,".","-",".","ID=MEAE_00059632","MEAE_00059632","Alias=augustus_masked-MeA_20160214_scaffold_1317-processed-gene-0.36","Similar to TMEM119: Transmembrane protein 119 (Homo sapiens)"
"71","OLKM01001411.1 52446","OLKM01001411.1",52447,"MeA_20160214_scaffold_1410","OLKM01001411.1","maker","gene",47038,52707,".","+",".","ID=MEAE_00061674","MEAE_00061674","Alias=maker-MeA_20160214_scaffold_1410-snap-gene-0.61","Similar to Dph3: DPH3 homolog (Mus musculus)"
"71.4","OLKM01001411.1 52446","OLKM01001411.1",52447,"MeA_20160214_scaffold_1410","OLKM01001411.1","maker","gene",52347,53905,".","-",".","ID=MEAE_00061675","MEAE_00061675","Alias=snap_masked-MeA_20160214_scaffold_1410-processed-gene-0.48","Protein of unknown function"
"72","OLKM01001424.1 16722","OLKM01001424.1",16723,"MeA_20160214_scaffold_1423","OLKM01001424.1","maker","gene",5765,23491,".","-",".","ID=MEAE_00061954","MEAE_00061954","Alias=snap_masked-MeA_20160214_scaffold_1423-processed-gene-0.79","Protein of unknown function"
"73","OLKM01001513.1 76293","OLKM01001513.1",76294,"MeA_20160214_scaffold_1512","OLKM01001513.1","maker","gene",70317,78491,".","-",".","ID=MEAE_00063876","MEAE_00063876","Alias=snap_masked-MeA_20160214_scaffold_1512-processed-gene-0.85","Protein of unknown function"
