Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg	version
Mae-334_S17_R1_001_val_1	2248539.0	54528030.0	78906218.0	1.2	9.9	65.9	854382817.0	182518073.0	495280964.0	40900993.0	0.24.2
Mae-337_S18_R1_001_val_1	2964399.0	60471429.0	104829879.0	1.2	7.9	65.4	1176825914.0	246850634.0	706213084.0	55496489.0	0.24.2
Mae-340_S19_R1_001_val_1	3509237.0	76573554.0	119186988.0	1.2	8.4	64.6	1382889778.0	285406495.0	832971944.0	65241560.0	0.24.2
Mae-346_S20_R1_001_val_1	4577312.0	87334900.0	107549018.0	1.8	11.3	65.3	1191040531.0	246378389.0	688173191.0	57027721.0	0.24.2
Mae-348_S21_R1_001_val_1	3834372.0	98609179.0	124395671.0	1.3	10.8	64.0	1402288920.0	293851844.0	811742265.0	69855589.0	0.24.2
Mae-351_S22_R1_001_val_1	3150833.0	48795216.0	108787070.0	1.2	6.4	65.9	1186425760.0	252345630.0	717007642.0	56339369.0	0.24.2
Mae-355_S23_R1_001_val_1	3534679.0	70603951.0	123983792.0	1.2	7.7	63.3	1414742029.0	299696132.0	845129927.0	71793548.0	0.24.2
Mae-358_S24_R1_001_val_1	5150804.0	110783576.0	192301658.0	1.1	8.3	66.0	2080197128.0	443396503.0	1229693513.0	98871074.0	0.24.2
Mae-363_S25_R1_001_val_1	2690705.0	37720944.0	92823333.0	1.2	5.8	66.0	1012346697.0	214617047.0	616651804.0	47842864.0	0.24.2
Mae-364_S26_R1_001_val_1	2663197.0	54015478.0	96901511.0	1.2	7.8	66.9	1064165869.0	221658211.0	640924609.0	48002863.0	0.24.2
Mae-366_S27_R1_001_val_1	2322895.0	42872577.0	80749793.0	1.2	7.3	64.8	905730431.0	189799578.0	546059269.0	43926319.0	0.24.2
Mae-374_S28_R1_001_val_1	2259086.0	53362396.0	84418498.0	1.1	8.8	65.7	931266499.0	195660857.0	551420576.0	44145086.0	0.24.2
Mae-377_S29_R1_001_val_1	2958986.0	61196236.0	103939818.0	1.2	8.2	64.5	1152841718.0	243338159.0	684203081.0	57205438.0	0.24.2
Mae-379_S71_R1_001_val_1	3872430.0	70528649.0	137190813.0	1.2	7.2	66.2	1516052821.0	322122620.0	912156236.0	70182073.0	0.24.2
Mae-381_S30_R1_001_val_1	2954259.0	86332948.0	107251188.0	1.2	10.7	64.3	1230240898.0	253203392.0	720831942.0	59667169.0	0.24.2
Mae-384_S72_R1_001_val_1	2436371.0	54211541.0	94969937.0	1.0	7.6	63.1	1095014738.0	231543615.0	656262449.0	55590825.0	0.24.2
Mae-386_S31_R1_001_val_1	2881765.0	54778051.0	98969550.0	1.2	7.8	65.1	1087715731.0	229740773.0	648304455.0	53041137.0	0.24.2
Mae-394_S32_R1_001_val_1	4028444.0	67912448.0	137166615.0	1.3	7.1	65.9	1487838778.0	317211861.0	890541556.0	70977854.0	0.24.2
Mae-398_S33_R1_001_val_1	2223556.0	47497813.0	79289892.0	1.2	8.5	65.9	862397185.0	182243148.0	510189959.0	40952817.0	0.24.2
Mae-404_S34_R1_001_val_1	3421106.0	52674022.0	125227092.0	1.2	6.2	68.8	1317813192.0	278364239.0	801327258.0	56799475.0	0.24.2
Mae-407_S35_R1_001_val_1	4148980.0	75486463.0	144191535.0	1.3	7.4	66.8	1561203671.0	325598525.0	940116493.0	71661675.0	0.24.2
Mae-409_S36_R1_001_val_1	2264082.0	34034329.0	87804916.0	1.1	5.7	66.1	930832690.0	201336743.0	560385218.0	45007402.0	0.24.2
Mae-412_S37_R1_001_val_1	3319595.0	68521187.0	99839975.0	1.4	9.5	64.5	1115050402.0	232363327.0	655995807.0	55010511.0	0.24.2
Mae-418_S38_R1_001_val_1	4615454.0	84292838.0	142002531.0	1.4	8.7	65.0	1513741259.0	325896525.0	880537887.0	76396024.0	0.24.2
Mae-423_S39_R1_001_val_1	3383529.0	72896314.0	121740255.0	1.1	7.9	62.6	1412335384.0	294774416.0	846730038.0	72810832.0	0.24.2
Mae-426_S40_R1_001_val_1	3212273.0	52242204.0	119419385.0	1.1	6.2	65.5	1303866583.0	277264584.0	788818391.0	62909746.0	0.24.2
Mae-430_S51_R1_001_val_1	2771688.0	49668486.0	103102929.0	1.1	6.7	65.7	1140272028.0	239935848.0	690991565.0	53801512.0	0.24.2
Mae-431_S41_R1_001_val_1	3022579.0	66888040.0	102760239.0	1.3	9.2	64.9	1127688243.0	238653488.0	660898507.0	55465390.0	0.24.2
Mae-435_S42_R1_001_val_1	4226631.0	71518546.0	143556134.0	1.3	7.1	66.0	1553488309.0	330265309.0	929957563.0	73964126.0	0.24.2
Mae-438_S43_R1_001_val_1	3890164.0	73153907.0	146507583.0	1.1	7.3	65.6	1571576009.0	338259305.0	932962132.0	76802918.0	0.24.2
Mae-443_S44_R1_001_val_1	3035635.0	56858092.0	93674113.0	1.3	8.0	62.7	1088362233.0	228909129.0	650075219.0	55810045.0	0.24.2
Mae-447_S45_R1_001_val_1	2081609.0	32221032.0	65566391.0	1.3	6.6	63.5	752402783.0	158170364.0	456693641.0	37669746.0	0.24.2
Mae-450_S46_R1_001_val_1	2885936.0	40792015.0	104394002.0	1.2	5.5	65.8	1147136229.0	243130068.0	701720957.0	54213251.0	0.24.2
Mae-451_S47_R1_001_val_1	3158573.0	55695299.0	112225877.0	1.2	7.1	66.0	1221309399.0	259529885.0	732923521.0	57776244.0	0.24.2
Mae-456_S48_R1_001_val_1	1855946.0	39311838.0	66780227.0	1.2	8.6	66.5	713141627.0	152028477.0	419571789.0	33593350.0	0.24.2
Mae-458_S49_R1_001_val_1	2344852.0	42289504.0	77824687.0	1.3	7.6	64.7	864235026.0	182698838.0	516628680.0	42448465.0	0.24.2
Mae-459_S50_R1_001_val_1	4022317.0	84956137.0	128509968.0	1.3	8.7	62.9	1498719482.0	311654421.0	893902992.0	75673647.0	0.24.2
Mae-466_S52_R1_001_val_1	2302741.0	39455267.0	89160383.0	1.1	5.9	65.5	1011518260.0	209488504.0	624069473.0	47041892.0	0.24.2
Mae-472_S53_R1_001_val_1	2116952.0	32641334.0	81832916.0	1.1	5.6	66.9	896428801.0	187012190.0	552365874.0	40459535.0	0.24.2
Mae-473_S54_R1_001_val_1	2023883.0	34969496.0	72644409.0	1.2	7.0	66.0	779689586.0	166946976.0	465599517.0	37505305.0	0.24.2
Mae-479_S55_R1_001_val_1	2452435.0	53724838.0	85667882.0	1.2	8.4	66.0	968992880.0	199381387.0	583670693.0	44095645.0	0.24.2
Mae-482_S56_R1_001_val_1	2543032.0	39295714.0	85156196.0	1.2	6.3	64.0	965408345.0	202487742.0	588084342.0	47841319.0	0.24.2
Mae-486_S57_R1_001_val_1	2639519.0	48184229.0	87179057.0	1.2	7.0	63.6	1047692352.0	214716628.0	645084063.0	49888856.0	0.24.2
Mae-494_S58_R1_001_val_1	1728658.0	25188978.0	66643917.0	1.1	5.5	66.6	710060626.0	153226652.0	429832869.0	33439552.0	0.24.2
Mae-500_S59_R1_001_val_1	1995147.0	22800414.0	81122763.0	1.0	3.8	64.6	931107412.0	200018294.0	580768433.0	44402361.0	0.24.2
Mae-504_S60_R1_001_val_1	2732207.0	62597593.0	93835934.0	1.2	8.3	63.8	1131768821.0	228519803.0	690748709.0	53334575.0	0.24.2
Mae-508_S61_R1_001_val_1	6412548.0	87359997.0	213867799.0	1.3	5.9	65.6	2312867851.0	501356676.0	1391598752.0	112272079.0	0.24.2
Mae-510_S62_R1_001_val_1	2976837.0	73468292.0	111899637.0	1.1	8.5	65.6	1296929662.0	262727333.0	787302785.0	58554778.0	0.24.2
Mae-511_S63_R1_001_val_1	3911859.0	56660712.0	134094276.0	1.2	5.5	62.9	1583633006.0	328506508.0	981360984.0	79098667.0	0.24.2
Mae-517_S64_R1_001_val_1	3084614.0	39291567.0	88502060.0	1.4	5.6	63.6	1061720877.0	215475620.0	664730904.0	50636112.0	0.24.2
Mae-518_S65_R1_001_val_1	3118675.0	65374890.0	89054477.0	1.4	10.3	63.1	989416493.0	213541313.0	566310353.0	52016785.0	0.24.2
Mae-522_S66_R1_001_val_1	6570124.0	121772017.0	195343080.0	1.4	8.8	64.7	2146772403.0	460600214.0	1255913155.0	106573813.0	0.24.2
Mae-523_S67_R1_001_val_1	4335234.0	111934145.0	143021405.0	1.3	11.2	65.3	1551354420.0	329284545.0	886636241.0	76142850.0	0.24.2
Mae-530_S68_R1_001_val_1	2694139.0	57035449.0	90170508.0	1.2	8.8	64.0	1010208566.0	215516536.0	594166074.0	50625860.0	0.24.2
Mae-534_S69_R1_001_val_1	3240498.0	74893466.0	119037856.0	1.1	8.7	65.1	1323926537.0	281011173.0	781960691.0	63782853.0	0.24.2
Mae-536_S70_R1_001_val_1	3123324.0	71231172.0	115851700.0	1.1	8.5	63.8	1298157414.0	275987475.0	766364013.0	65599730.0	0.24.2
